seed_index	world_seed	mode	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
1	20860828	benchmark	CS60	R1	median	-0.000260998147791262	14	14	0.669192335212486	0.357142857142857	0
1	20860828	benchmark	CS60	R1	mean	-0.000166036270715446	14	14	0.669192335212486	0.357142857142857	0
1	20860828	benchmark	CS62	R1	median	0.000175908355149706	7	7	0.511439091694946	0.571428571428571	0
1	20860828	benchmark	CS62	R1	mean	0.000138644277144525	7	7	0.511439091694946	0.571428571428571	0
1	20860828	benchmark	CS62	R2	median	0.000250576213329125	7	7	0.974179882568042	0.571428571428571	0
1	20860828	benchmark	CS62	R2	mean	0.000460562863233672	7	7	0.974179882568042	0.571428571428571	0
2	20860829	benchmark	CS41	R1	median	6.28976074268412e-05	14	14	1.43774025994776	0.5	0
2	20860829	benchmark	CS41	R1	mean	0.000285383452847572	14	14	1.43774025994776	0.5	0
2	20860829	benchmark	CS41	R2	median	-0.00020687316607501	14	14	-0.104592304891655	0.428571428571429	0
2	20860829	benchmark	CS41	R2	mean	-0.000111600056195313	14	14	-0.104592304891655	0.428571428571429	0
2	20860829	benchmark	CS42	R1	median	-0.00026839748447181	14	14	0.539769220192225	0.357142857142857	0
2	20860829	benchmark	CS42	R1	mean	-7.13285184378519e-05	14	14	0.539769220192225	0.357142857142857	0
2	20860829	benchmark	CS42	R2	median	-0.000355173071031952	14	14	0.159045875565986	0.428571428571429	0
2	20860829	benchmark	CS42	R2	mean	-0.000230537922977559	14	14	0.159045875565986	0.428571428571429	0
2	20860829	benchmark	CS43	R1	median	0.000207794054851929	14	14	0.0501088483078766	0.571428571428571	0
2	20860829	benchmark	CS43	R1	mean	0.000111515527397991	14	14	0.0501088483078766	0.571428571428571	0
2	20860829	benchmark	CS43	R2	median	-0.000235784951061102	14	14	1.51139026851485	0.428571428571429	0
2	20860829	benchmark	CS43	R2	mean	0.000116986398291269	14	14	1.51139026851485	0.428571428571429	0
2	20860829	benchmark	CS44	R1	median	-0.000291047369309446	14	14	0.143603429100266	0.428571428571429	0
2	20860829	benchmark	CS44	R1	mean	-0.00010218590634433	14	14	0.143603429100266	0.428571428571429	0
2	20860829	benchmark	CS47	R1	median	-0.000267965824663967	14	14	0.419107543185108	0.428571428571429	0
2	20860829	benchmark	CS47	R1	mean	-0.000118195305465428	14	14	0.419107543185108	0.428571428571429	0
2	20860829	benchmark	CS47	R2	median	-0.000257330713729358	14	14	-0.615546989944722	0.357142857142857	0
2	20860829	benchmark	CS47	R2	mean	-0.000417187836413272	14	14	-0.615546989944722	0.357142857142857	0
2	20860829	benchmark	CS48	R1	median	-0.000440823286622303	14	14	1.44318167085007	0.285714285714286	0
2	20860829	benchmark	CS48	R1	mean	0.000116430009896419	14	14	1.44318167085007	0.285714285714286	0
2	20860829	benchmark	CS48	R2	median	-0.000256127210148761	14	14	1.11090449258539	0.357142857142857	0
2	20860829	benchmark	CS48	R2	mean	-0.000150464593944678	14	14	1.11090449258539	0.357142857142857	0
2	20860829	benchmark	CS49	R1	median	-0.00114221783491171	12	12	1.33997929681974	0.166666666666667	0
2	20860829	benchmark	CS49	R1	mean	-0.000793492027231065	12	12	1.33997929681974	0.166666666666667	0
2	20860829	benchmark	CS49	R2	median	-0.000173461523038344	14	14	0.675022347751425	0.428571428571429	0
2	20860829	benchmark	CS49	R2	mean	0.000191006399810488	14	14	0.675022347751425	0.428571428571429	0
2	20860829	benchmark	CS51	R1	median	0.00092545588112978	14	14	-0.131722681160731	0.714285714285714	0
2	20860829	benchmark	CS51	R1	mean	0.000868672480283639	14	14	-0.131722681160731	0.714285714285714	0
2	20860829	benchmark	CS51	R2	median	-0.000458091746959996	12	12	0.0124335374063978	0.333333333333333	0
2	20860829	benchmark	CS51	R2	mean	-0.000481851745333518	12	12	0.0124335374063978	0.333333333333333	0
2	20860829	benchmark	CS53	R1	median	-0.000291419207845676	12	12	0.466092856056462	0.416666666666667	0
2	20860829	benchmark	CS53	R1	mean	-7.58053869487208e-05	12	12	0.466092856056462	0.416666666666667	0
2	20860829	benchmark	CS53	R2	median	-0.000783462559175174	8	8	1.97183364306163	0.25	0
2	20860829	benchmark	CS53	R2	mean	-0.000239967940720362	8	8	1.97183364306163	0.25	0
2	20860829	benchmark	CS54	R1	median	-0.000162486449920192	7	7	0.95812909686366	0.285714285714286	0
2	20860829	benchmark	CS54	R1	mean	-8.48717392779253e-05	7	7	0.95812909686366	0.285714285714286	0
2	20860829	benchmark	CS54	R2	median	0.00084083937795017	7	7	-0.244636760446215	0.571428571428571	0
2	20860829	benchmark	CS54	R2	mean	0.000412492836786084	7	7	-0.244636760446215	0.571428571428571	0
2	20860829	benchmark	CS55	R1	median	-0.000618794338027631	14	14	1.24371985572234	0.357142857142857	0
2	20860829	benchmark	CS55	R1	mean	-0.000391656299562851	14	14	1.24371985572234	0.357142857142857	0
2	20860829	benchmark	CS55	R2	median	0.000607997672952147	14	14	-0.491443721263316	0.571428571428571	0
2	20860829	benchmark	CS55	R2	mean	0.000180352911840598	14	14	-0.491443721263316	0.571428571428571	0
2	20860829	benchmark	CS56	R1	median	-0.000227285909252938	12	12	0.240111060017953	0.416666666666667	0
2	20860829	benchmark	CS56	R1	mean	-0.000201072336455335	12	12	0.240111060017953	0.416666666666667	0
2	20860829	benchmark	CS56	R2	median	-0.000373098847379262	12	12	1.20446339219907	0.333333333333333	0
2	20860829	benchmark	CS56	R2	mean	-0.000122494088138769	12	12	1.20446339219907	0.333333333333333	0
2	20860829	benchmark	CS57	R1	median	-0.000766588344198829	12	12	1.32225308864105	0.166666666666667	0
2	20860829	benchmark	CS57	R1	mean	-0.000511997044119265	12	12	1.32225308864105	0.166666666666667	0
2	20860829	benchmark	CS57	R2	median	0.000268803495502874	12	12	0.0362158173474309	0.666666666666667	0
2	20860829	benchmark	CS57	R2	mean	0.000252754293670245	12	12	0.0362158173474309	0.666666666666667	0
2	20860829	benchmark	CS58	R1	median	1.79723617448893e-05	7	7	1.50949554763433	0.571428571428571	0
2	20860829	benchmark	CS58	R1	mean	-7.89062685383935e-05	7	7	1.50949554763433	0.571428571428571	0
2	20860829	benchmark	CS60	R1	median	-0.000314551543490686	14	14	2.66997897565961	0.214285714285714	0
2	20860829	benchmark	CS60	R1	mean	-0.000154040353095094	14	14	2.66997897565961	0.214285714285714	0
2	20860829	benchmark	CS62	R1	median	-0.000719677681981142	7	7	0.446651877294229	0.142857142857143	0
2	20860829	benchmark	CS62	R1	mean	-0.00059842936399359	7	7	0.446651877294229	0.142857142857143	0
2	20860829	benchmark	CS62	R2	median	-0.000719247714587428	7	7	0.402527248150322	0.285714285714286	0
2	20860829	benchmark	CS62	R2	mean	-0.000400974344412328	7	7	0.402527248150322	0.285714285714286	0
3	20860830	benchmark	CS41	R1	median	5.28524450471555e-05	14	14	0.283991322427985	0.5	0
3	20860830	benchmark	CS41	R1	mean	2.5825045182199e-06	14	14	0.283991322427985	0.5	0
3	20860830	benchmark	CS41	R2	median	-6.08289774781666e-05	14	14	0.171594290473689	0.5	0
3	20860830	benchmark	CS41	R2	mean	0.000149109804979544	14	14	0.171594290473689	0.5	0
3	20860830	benchmark	CS42	R1	median	-0.000753248659354911	14	14	0.632927561214369	0.357142857142857	0
3	20860830	benchmark	CS42	R1	mean	-0.000410566505076843	14	14	0.632927561214369	0.357142857142857	0
3	20860830	benchmark	CS42	R2	median	-0.000493977666258234	14	14	1.44044048518391	0.357142857142857	0
3	20860830	benchmark	CS42	R2	mean	-0.000185851385660251	14	14	1.44044048518391	0.357142857142857	0
3	20860830	benchmark	CS43	R1	median	-0.000343559732177525	14	14	0.900586032569056	0.357142857142857	0
3	20860830	benchmark	CS43	R1	mean	-3.29810324645482e-05	14	14	0.900586032569056	0.357142857142857	0
3	20860830	benchmark	CS43	R2	median	-0.000303449678022171	14	14	2.25758489715826	0.285714285714286	0
3	20860830	benchmark	CS43	R2	mean	-0.000118268711698568	14	14	2.25758489715826	0.285714285714286	0
3	20860830	benchmark	CS44	R1	median	-0.000353544297185767	14	14	0.384659938383812	0.285714285714286	0
3	20860830	benchmark	CS44	R1	mean	-0.000518643132987949	14	14	0.384659938383812	0.285714285714286	0
3	20860830	benchmark	CS47	R1	median	-0.000596095371738559	14	14	1.28027777426929	0.285714285714286	0
3	20860830	benchmark	CS47	R1	mean	-0.000368820616419029	14	14	1.28027777426929	0.285714285714286	0
3	20860830	benchmark	CS47	R2	median	-0.00048925835293266	14	14	2.68400373261628	0.285714285714286	0
3	20860830	benchmark	CS47	R2	mean	-0.000223147823921126	14	14	2.68400373261628	0.285714285714286	0
3	20860830	benchmark	CS48	R1	median	-0.000365654323952279	14	14	0.800447431508815	0.357142857142857	0
3	20860830	benchmark	CS48	R1	mean	-0.000178519900057357	14	14	0.800447431508815	0.357142857142857	0
3	20860830	benchmark	CS48	R2	median	-6.14980236278999e-06	14	14	0.740704547465658	0.5	0
3	20860830	benchmark	CS48	R2	mean	-6.89248517954838e-05	14	14	0.740704547465658	0.5	0
3	20860830	benchmark	CS49	R1	median	8.81168163544989e-05	12	12	0.282859318488834	0.666666666666667	0
3	20860830	benchmark	CS49	R1	mean	0.000134670032965071	12	12	0.282859318488834	0.666666666666667	0
3	20860830	benchmark	CS49	R2	median	0.000140471241298543	14	14	0.145969142991071	0.571428571428571	0
3	20860830	benchmark	CS49	R2	mean	5.24735417000075e-05	14	14	0.145969142991071	0.571428571428571	0
