run	n	both_reject	mean_only_reject	median_only_reject	neither_reject	fpr_mean	fpr_median	delta_mean_minus_median	ci_low	ci_high
R1	120	2	2	39	77	0.03333333333333333	0.3416666666666667	-0.30833333333333335	-0.398955042973538	-0.21598877580827489
R2	120	3	2	37	78	0.041666666666666664	0.3333333333333333	-0.2916666666666667	-0.38144995033059137	-0.20106600221433157
