reducer	run	n_worlds	rejections	fpr	cp_low	cp_high
median	R1	120	41	0.3416666666666667	0.2575543476518658	0.43380059718495123
median	R2	120	40	0.3333333333333333	0.24993508930271455	0.42517828783635164
mean	R1	120	4	0.03333333333333333	0.009155505556836708	0.08314872142851014
mean	R2	120	5	0.041666666666666664	0.013665384116789567	0.09455879997593716
