reducer	run	n_worlds	mean_p	p_lt_0p5_count	p_lt_0p5_fraction	p_lt_0p5_cp_low	p_lt_0p5_cp_high	p_gt_0p75_count	p_gt_0p75_fraction	p_gt_0p75_cp_low	p_gt_0p75_cp_high	observed_mean	observed_sample_sd	null_center_sd
median	R1	120	0.21651331583658853	100	0.8333333333333334	0.7543999619226814	0.8951214980233372	8	0.06666666666666667	0.029219184313796415	0.12713674823921287	-0.0001537456811878314	8.49594132280179e-05	-1.8096368059322847
median	R2	120	0.29330240885416664	89	0.7416666666666667	0.653790595288739	0.8172414698303412	18	0.15	0.09138957252823	0.22666714341262836	-0.0001455236920472726	0.00011153156365172557	-1.3047758614923815
mean	R1	120	0.5094818115234375	60	0.5	0.40736926744019714	0.5926307325598028	30	0.25	0.17546461903005658	0.33726921629199613	1.1359069394486438e-06	8.134464948298717e-05	0.013964126057070455
mean	R2	120	0.49304606119791666	62	0.5166666666666667	0.4236636548327075	0.6088277437806595	27	0.225	0.15381546444741603	0.310223377563974	6.020329188517555e-06	0.00010298979545910764	0.05845558932979862
