cell_id	seed_index	world_seed	checkpoint_sha256	run	observed_slope	p_two_sided	reject_alpha_0_05	elapsed_s	peak_memory_bytes	mask_sha256
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R1	0.0005904427382709793	0.655853271484375	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	3	91401003.0	69C04ADACF3A67910787AEA9AC2B76AD43C2534BF4A744DBFBE6BB2841945259	R2	-0.0014284532395197195	0.2900390625	0	331.1514766	3085475840.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
