frequency_hz	power	one_sided_nonDC_fraction	theta_4_8_total_fraction	aperiodic_fit_bins_total_fraction
2.5	6.15080517721344	0.073633743119667	0.891165948725837	0.108834051274162
5	40.8519096026618	0.489054510907633	0.891165948725837	0.108834051274162
7.5	33.5893438084414	0.402111437818205	0.891165948725837	0.108834051274162
10	2.93911137653426	0.0351852750761097	0.891165948725837	0.108834051274162
12.5	0.00120646676752601	1.44430950880274e-05	0.891165948725837	0.108834051274162
15	4.46043448165385e-05	5.3397641017952e-07	0.891165948725837	0.108834051274162
17.5	4.01235633037478e-06	4.80335186732796e-08	0.891165948725837	0.108834051274162
20	5.47921797716434e-07	6.55939047658085e-09	0.891165948725837	0.108834051274162
22.5	9.40437492538388e-08	1.12583524840316e-09	0.891165948725837	0.108834051274162
25	1.85316338358702e-08	2.21849583289256e-10	0.891165948725837	0.108834051274162
27.5	4.20947846203608e-09	5.03933463686391e-11	0.891165948725837	0.108834051274162
30	1.32818647415969e-09	1.59002502657055e-11	0.891165948725837	0.108834051274162
