checkpoint	arm	metrics
P01/29	Mpower	 [Mpower p=0.357361 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.357361 dcount=0] [Mpower p=0.491699 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.491699 dcount=0]
P01/30	Mpower	 [Mpower p=0.107086 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.107086 dcount=0] [Mpower p=0.345703 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.345703 dcount=0]
P01/31	Mpower	 [Mpower p=0.153656 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.153656 dcount=0] [Mpower p=0.0646973 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0646973 dcount=0]
P01/32	Mpower	 [Mpower p=0.242523 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.242523 dcount=0] [Mpower p=0.687012 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.687012 dcount=0]
P01/33	Mpower	 [Mpower p=0.518036 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.518036 dcount=0] [Mpower p=0.032959 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.032959 dcount=0]
P01/34	Mpower	 [Mpower p=0.567688 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.567688 dcount=0] [Mpower p=0.421631 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.421631 dcount=0]
P01/35	Mpower	 [Mpower p=0.669189 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.669189 dcount=0] [Mpower p=0.0976562 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0976562 dcount=0]
P01/36	Mpower	 [Mpower p=0.445496 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.445496 dcount=0] [Mpower p=0.902344 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.902344 dcount=0]
P01/37	Mpower	 [Mpower p=0.0374451 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0374451 dcount=0] [Mpower p=0.554443 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.554443 dcount=0]
P01/38	Mpower	 [Mpower p=0.35965 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.35965 dcount=0] [Mpower p=0.742188 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.742188 dcount=0]
P01/39	Mpower	 [Mpower p=0.869659 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.869659 dcount=0] [Mpower p=0.338135 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.338135 dcount=0]
P01/40	Mpower	 [Mpower p=0.278107 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.278107 dcount=0] [Mpower p=0.982178 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.982178 dcount=0]
P01/41	Mpower	 [Mpower p=0.83551 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.83551 dcount=0] [Mpower p=0.571533 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.571533 dcount=0]
P01/42	Mpower	 [Mpower p=0.846954 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.846954 dcount=0] [Mpower p=0.635254 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.635254 dcount=0]
P01/43	Mpower	 [Mpower p=0.58905 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.58905 dcount=0] [Mpower p=0.229248 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.229248 dcount=0]
P01/44	Mpower	 [Mpower p=0.00460815 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00460815 dcount=0] [Mpower p=0.520264 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.520264 dcount=0]
P01/45	Mpower	 [Mpower p=0.540436 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.540436 dcount=0] [Mpower p=0.212158 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.212158 dcount=0]
P01/46	Mpower	 [Mpower p=0.162415 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.162415 dcount=0] [Mpower p=0.0456543 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0456543 dcount=0]
P01/47	Mpower	 [Mpower p=0.740112 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.740112 dcount=0] [Mpower p=0.853516 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.853516 dcount=0]
P01/48	Mpower	 [Mpower p=0.44812 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.44812 dcount=0] [Mpower p=0.970459 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.970459 dcount=0]
P01/49	Mpower	 [Mpower p=0.825684 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.825684 dcount=0] [Mpower p=0.353516 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.353516 dcount=0]
P01/50	Mpower	 [Mpower p=0.972717 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.972717 dcount=0] [Mpower p=0.521729 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.521729 dcount=0]
P01/51	Mpower	 [Mpower p=0.392944 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.392944 dcount=0] [Mpower p=0.787109 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.787109 dcount=0]
P01/52	Mpower	 [Mpower p=0.90036 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.90036 dcount=0] [Mpower p=0.592773 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.592773 dcount=0]
P01/53	Mpower	 [Mpower p=0.564941 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.564941 dcount=0] [Mpower p=0.272705 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.272705 dcount=0]
P01/54	Mpower	 [Mpower p=0.239655 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.239655 dcount=0] [Mpower p=0.140137 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.140137 dcount=0]
P01/55	Mpower	 [Mpower p=0.511871 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.511871 dcount=0] [Mpower p=0.34668 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.34668 dcount=0]
P01/56	Mpower	 [Mpower p=0.900604 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.900604 dcount=0] [Mpower p=0.931885 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.931885 dcount=0]
P01/57	Mpower	 [Mpower p=0.932739 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.932739 dcount=0] [Mpower p=0.00976562 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00976562 dcount=0]
P01/58	Mpower	 [Mpower p=0.761261 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.761261 dcount=0] [Mpower p=0.655273 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.655273 dcount=0]
P01/59	Mpower	 [Mpower p=0.654663 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.654663 dcount=0] [Mpower p=0.550293 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.550293 dcount=0]
P01/60	Mpower	 [Mpower p=0.729797 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.729797 dcount=0] [Mpower p=0.601807 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.601807 dcount=0]
P01/61	Mpower	 [Mpower p=0.487976 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.487976 dcount=0] [Mpower p=0.364258 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.364258 dcount=0]
P01/62	Mpower	 [Mpower p=0.679932 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.679932 dcount=0] [Mpower p=0.204834 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.204834 dcount=0]
P01/63	Mpower	 [Mpower p=0.326233 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.326233 dcount=0] [Mpower p=0.932129 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.932129 dcount=0]
P01/64	Mpower	 [Mpower p=0.549408 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.549408 dcount=0] [Mpower p=0.246826 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.246826 dcount=0]
P02/1	Mpower	 [Mpower p=0.938354 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.938354 dcount=0] [Mpower p=0.0527344 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0527344 dcount=0]
P02/2	Mpower	 [Mpower p=0.893158 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.893158 dcount=0] [Mpower p=0.597656 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.597656 dcount=0]
P02/3	Mpower	 [Mpower p=0.582367 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.582367 dcount=0] [Mpower p=0.562988 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.562988 dcount=0]
P02/4	Mpower	 [Mpower p=0.622253 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.622253 dcount=0] [Mpower p=0.547363 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.547363 dcount=0]
P02/5	Mpower	 [Mpower p=0.133026 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.133026 dcount=0] [Mpower p=0.588623 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.588623 dcount=0]
P02/6	Mpower	 [Mpower p=0.289764 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.289764 dcount=0] [Mpower p=0.239258 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.239258 dcount=0]
P02/7	Mpower	 [Mpower p=0.950439 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.950439 dcount=0] [Mpower p=0.520752 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.520752 dcount=0]
P02/8	Mpower	 [Mpower p=0.651917 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.651917 dcount=0] [Mpower p=0.129883 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.129883 dcount=0]
P02/9	Mpower	 [Mpower p=0.749573 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.749573 dcount=0] [Mpower p=0.44458 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.44458 dcount=0]
P02/10	Mpower	 [Mpower p=0.00363159 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00363159 dcount=0] [Mpower p=0.319336 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.319336 dcount=0]
P02/11	Mpower	 [Mpower p=0.850555 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.850555 dcount=0] [Mpower p=0.0241699 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0241699 dcount=0]
P02/12	Mpower	 [Mpower p=0.420471 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.420471 dcount=0] [Mpower p=0.360107 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.360107 dcount=0]
P02/13	Mpower	 [Mpower p=0.57663 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.57663 dcount=0] [Mpower p=0.195557 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.195557 dcount=0]
P02/14	Mpower	 [Mpower p=0.0942688 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0942688 dcount=0] [Mpower p=0.133057 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.133057 dcount=0]
P02/15	Mpower	 [Mpower p=0.561188 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.561188 dcount=0] [Mpower p=0.155273 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.155273 dcount=0]
P02/16	Mpower	 [Mpower p=0.073761 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.073761 dcount=0] [Mpower p=0.601074 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.601074 dcount=0]
P02/17	Mpower	 [Mpower p=0.0983276 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0983276 dcount=0] [Mpower p=0.174561 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.174561 dcount=0]
P02/18	Mpower	 [Mpower p=0.00106812 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00106812 dcount=0] [Mpower p=0.205322 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.205322 dcount=0]
P02/19	Mpower	 [Mpower p=0.335876 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.335876 dcount=0] [Mpower p=0.292236 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.292236 dcount=0]
P02/20	Mpower	 [Mpower p=0.898254 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.898254 dcount=0] [Mpower p=0.909668 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.909668 dcount=0]
P02/21	Mpower	 [Mpower p=0.386505 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.386505 dcount=0] [Mpower p=0.558838 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.558838 dcount=0]
P02/22	Mpower	 [Mpower p=0.0157776 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0157776 dcount=0] [Mpower p=0.894043 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.894043 dcount=0]
P02/23	Mpower	 [Mpower p=0.439026 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.439026 dcount=0] [Mpower p=0.148682 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.148682 dcount=0]
P02/24	Mpower	 [Mpower p=0.611786 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.611786 dcount=0] [Mpower p=0.726074 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.726074 dcount=0]
P02/25	Mpower	 [Mpower p=0.464966 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.464966 dcount=0] [Mpower p=0.0249023 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0249023 dcount=0]
P02/26	Mpower	 [Mpower p=0.746887 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.746887 dcount=0] [Mpower p=0.493652 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.493652 dcount=0]
P02/27	Mpower	 [Mpower p=0.3573 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.3573 dcount=0] [Mpower p=0.832764 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.832764 dcount=0]
P02/28	Mpower	 [Mpower p=0.111847 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.111847 dcount=0] [Mpower p=0.0656738 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0656738 dcount=0]
P02/29	Mpower	 [Mpower p=0.0460815 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0460815 dcount=0] [Mpower p=0.798584 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.798584 dcount=0]
P02/30	Mpower	 [Mpower p=0.127045 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.127045 dcount=0] [Mpower p=0.677734 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.677734 dcount=0]
P02/31	Mpower	 [Mpower p=0.394836 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.394836 dcount=0] [Mpower p=0.00244141 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00244141 dcount=0]
