checkpoint	arm	metrics
P02/61	Mpower	 [Mpower p=0.590118 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.590118 dcount=0] [Mpower p=0.330566 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.330566 dcount=0]
P02/62	Mpower	 [Mpower p=0.819885 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.819885 dcount=0] [Mpower p=0.69751 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.69751 dcount=0]
P02/63	Mpower	 [Mpower p=0.224792 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.224792 dcount=0] [Mpower p=0.542969 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.542969 dcount=0]
P02/64	Mpower	 [Mpower p=0.528931 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.528931 dcount=0] [Mpower p=0.468018 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.468018 dcount=0]
P03/1	Mpower	 [Mpower p=0.915009 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.915009 dcount=0] [Mpower p=0.0617676 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0617676 dcount=0]
P03/2	Mpower	 [Mpower p=0.851837 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.851837 dcount=0] [Mpower p=0.940674 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.940674 dcount=0]
P03/3	Mpower	 [Mpower p=0.530701 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.530701 dcount=0] [Mpower p=0.523438 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.523438 dcount=0]
P03/4	Mpower	 [Mpower p=0.984894 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.984894 dcount=0] [Mpower p=0.50708 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.50708 dcount=0]
P03/5	Mpower	 [Mpower p=0.335388 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.335388 dcount=0] [Mpower p=0.990723 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.990723 dcount=0]
P03/6	Mpower	 [Mpower p=0.973511 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.973511 dcount=0] [Mpower p=0.562256 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.562256 dcount=0]
P03/7	Mpower	 [Mpower p=0.846527 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.846527 dcount=0] [Mpower p=0.703857 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.703857 dcount=0]
P03/8	Mpower	 [Mpower p=0.564575 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.564575 dcount=0] [Mpower p=0.0446777 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0446777 dcount=0]
P03/9	Mpower	 [Mpower p=0.973663 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.973663 dcount=0] [Mpower p=0.377197 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.377197 dcount=0]
P03/10	Mpower	 [Mpower p=0.0740662 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0740662 dcount=0] [Mpower p=0.0893555 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0893555 dcount=0]
P03/11	Mpower	 [Mpower p=0.62262 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.62262 dcount=0] [Mpower p=0.0625 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0625 dcount=0]
P03/12	Mpower	 [Mpower p=0.407776 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.407776 dcount=0] [Mpower p=0.172119 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.172119 dcount=0]
P03/13	Mpower	 [Mpower p=0.454498 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.454498 dcount=0] [Mpower p=0.76416 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.76416 dcount=0]
P03/14	Mpower	 [Mpower p=0.148499 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.148499 dcount=0] [Mpower p=0.480225 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.480225 dcount=0]
P03/15	Mpower	 [Mpower p=0.907379 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.907379 dcount=0] [Mpower p=0.760742 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.760742 dcount=0]
P03/16	Mpower	 [Mpower p=0.0729065 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0729065 dcount=0] [Mpower p=0.772461 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.772461 dcount=0]
P03/17	Mpower	 [Mpower p=0.355347 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.355347 dcount=0] [Mpower p=0.272949 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.272949 dcount=0]
P03/18	Mpower	 [Mpower p=0.00149536 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00149536 dcount=0] [Mpower p=0.331543 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.331543 dcount=0]
P03/19	Mpower	 [Mpower p=0.300507 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.300507 dcount=0] [Mpower p=0.314453 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.314453 dcount=0]
P03/20	Mpower	 [Mpower p=0.661957 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.661957 dcount=0] [Mpower p=0.934082 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.934082 dcount=0]
P03/21	Mpower	 [Mpower p=0.208954 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.208954 dcount=0] [Mpower p=0.518311 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.518311 dcount=0]
P03/22	Mpower	 [Mpower p=0.00827026 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00827026 dcount=0] [Mpower p=0.728516 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.728516 dcount=0]
P03/23	Mpower	 [Mpower p=0.16098 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.16098 dcount=0] [Mpower p=0.342773 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.342773 dcount=0]
P03/24	Mpower	 [Mpower p=0.507721 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.507721 dcount=0] [Mpower p=0.588623 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.588623 dcount=0]
P03/25	Mpower	 [Mpower p=0.731873 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.731873 dcount=0] [Mpower p=0.0385742 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0385742 dcount=0]
P03/26	Mpower	 [Mpower p=0.378754 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.378754 dcount=0] [Mpower p=0.647217 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.647217 dcount=0]
P03/27	Mpower	 [Mpower p=0.425262 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.425262 dcount=0] [Mpower p=0.419434 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.419434 dcount=0]
P03/28	Mpower	 [Mpower p=0.805695 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.805695 dcount=0] [Mpower p=0.0805664 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0805664 dcount=0]
P03/29	Mpower	 [Mpower p=0.518097 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.518097 dcount=0] [Mpower p=0.354004 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.354004 dcount=0]
P03/30	Mpower	 [Mpower p=0.122711 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.122711 dcount=0] [Mpower p=0.658447 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.658447 dcount=0]
P03/31	Mpower	 [Mpower p=0.120026 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.120026 dcount=0] [Mpower p=0.0168457 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0168457 dcount=0]
P03/32	Mpower	 [Mpower p=0.163116 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.163116 dcount=0] [Mpower p=0.446777 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.446777 dcount=0]
P03/33	Mpower	 [Mpower p=0.25943 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.25943 dcount=0] [Mpower p=0.0288086 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0288086 dcount=0]
P03/34	Mpower	 [Mpower p=0.628723 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.628723 dcount=0] [Mpower p=0.169434 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.169434 dcount=0]
P03/35	Mpower	 [Mpower p=0.762939 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.762939 dcount=0] [Mpower p=0.134766 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.134766 dcount=0]
P03/36	Mpower	 [Mpower p=0.585388 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.585388 dcount=0] [Mpower p=0.87915 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.87915 dcount=0]
P03/37	Mpower	 [Mpower p=0.0530396 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0530396 dcount=0] [Mpower p=0.0957031 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0957031 dcount=0]
P03/38	Mpower	 [Mpower p=0.419403 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.419403 dcount=0] [Mpower p=0.704834 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.704834 dcount=0]
P03/39	Mpower	 [Mpower p=0.740234 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.740234 dcount=0] [Mpower p=0.272705 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.272705 dcount=0]
P03/40	Mpower	 [Mpower p=0.529816 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.529816 dcount=0] [Mpower p=0.748047 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.748047 dcount=0]
P03/41	Mpower	 [Mpower p=0.794678 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.794678 dcount=0] [Mpower p=0.604492 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.604492 dcount=0]
P03/42	Mpower	 [Mpower p=0.832977 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.832977 dcount=0] [Mpower p=0.96875 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.96875 dcount=0]
P03/43	Mpower	 [Mpower p=0.541443 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.541443 dcount=0] [Mpower p=0.0566406 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0566406 dcount=0]
P03/44	Mpower	 [Mpower p=0.0150452 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0150452 dcount=0] [Mpower p=0.307617 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.307617 dcount=0]
P03/45	Mpower	 [Mpower p=0.647675 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.647675 dcount=0] [Mpower p=0.317627 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.317627 dcount=0]
P03/46	Mpower	 [Mpower p=0.212646 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.212646 dcount=0] [Mpower p=0.0410156 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0410156 dcount=0]
P03/47	Mpower	 [Mpower p=0.477325 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.477325 dcount=0] [Mpower p=0.515625 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.515625 dcount=0]
P03/48	Mpower	 [Mpower p=0.318146 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.318146 dcount=0] [Mpower p=0.831055 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.831055 dcount=0]
P03/49	Mpower	 [Mpower p=0.653046 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.653046 dcount=0] [Mpower p=0.250977 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.250977 dcount=0]
P03/50	Mpower	 [Mpower p=0.68457 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.68457 dcount=0] [Mpower p=0.584717 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.584717 dcount=0]
P03/51	Mpower	 [Mpower p=0.51712 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.51712 dcount=0] [Mpower p=0.920166 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.920166 dcount=0]
P03/52	Mpower	 [Mpower p=0.950623 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.950623 dcount=0] [Mpower p=0.729736 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.729736 dcount=0]
P03/53	Mpower	 [Mpower p=0.495575 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.495575 dcount=0] [Mpower p=0.119141 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.119141 dcount=0]
P03/54	Mpower	 [Mpower p=0.677399 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.677399 dcount=0] [Mpower p=0.0322266 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0322266 dcount=0]
P03/55	Mpower	 [Mpower p=0.230072 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.230072 dcount=0] [Mpower p=0.437744 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.437744 dcount=0]
P03/56	Mpower	 [Mpower p=0.839569 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.839569 dcount=0] [Mpower p=0.64502 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.64502 dcount=0]
P03/57	Mpower	 [Mpower p=0.699219 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.699219 dcount=0] [Mpower p=0.0117188 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0117188 dcount=0]
P03/58	Mpower	 [Mpower p=0.825134 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.825134 dcount=0] [Mpower p=0.392822 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.392822 dcount=0]
P03/59	Mpower	 [Mpower p=0.848083 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.848083 dcount=0] [Mpower p=0.539307 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.539307 dcount=0]
P03/60	Mpower	 [Mpower p=0.883789 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.883789 dcount=0] [Mpower p=0.53833 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.53833 dcount=0]
P03/61	Mpower	 [Mpower p=0.679596 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.679596 dcount=0] [Mpower p=0.245361 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.245361 dcount=0]
P03/62	Mpower	 [Mpower p=0.469391 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.469391 dcount=0] [Mpower p=0.640869 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.640869 dcount=0]
P03/63	Mpower	 [Mpower p=0.239014 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.239014 dcount=0] [Mpower p=0.695312 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.695312 dcount=0]
P03/64	Mpower	 [Mpower p=0.49704 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.49704 dcount=0] [Mpower p=0.200439 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.200439 dcount=0]
P04/1	Mpower	 [Mpower p=0.178406 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.178406 dcount=0] [Mpower p=0.167236 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.167236 dcount=0]
P04/2	Mpower	 [Mpower p=0.476929 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.476929 dcount=0] [Mpower p=0.784668 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.784668 dcount=0]
P04/3	Mpower	 [Mpower p=0.0799255 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0799255 dcount=0] [Mpower p=0.905518 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.905518 dcount=0]
P04/4	Mpower	 [Mpower p=0.623657 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.623657 dcount=0] [Mpower p=0.390869 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.390869 dcount=0]
P04/5	Mpower	 [Mpower p=0.0988464 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0988464 dcount=0] [Mpower p=0.405029 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.405029 dcount=0]
P04/6	Mpower	 [Mpower p=0.314453 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.314453 dcount=0] [Mpower p=0.672363 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.672363 dcount=0]
P04/7	Mpower	 [Mpower p=0.921478 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.921478 dcount=0] [Mpower p=0.699951 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.699951 dcount=0]
P04/8	Mpower	 [Mpower p=0.552307 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.552307 dcount=0] [Mpower p=0.0341797 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0341797 dcount=0]
P04/9	Mpower	 [Mpower p=0.309692 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.309692 dcount=0] [Mpower p=0.567383 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.567383 dcount=0]
P04/10	Mpower	 [Mpower p=0.700287 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.700287 dcount=0] [Mpower p=0.431152 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.431152 dcount=0]
P04/11	Mpower	 [Mpower p=0.653809 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.653809 dcount=0] [Mpower p=0.609863 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.609863 dcount=0]
P04/12	Mpower	 [Mpower p=0.959106 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.959106 dcount=0] [Mpower p=0.252197 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.252197 dcount=0]
P04/13	Mpower	 [Mpower p=0.210419 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.210419 dcount=0] [Mpower p=0.931396 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.931396 dcount=0]
P04/14	Mpower	 [Mpower p=0.100494 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.100494 dcount=0] [Mpower p=0.675293 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.675293 dcount=0]
P04/15	Mpower	 [Mpower p=0.780579 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.780579 dcount=0] [Mpower p=0.0666504 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0666504 dcount=0]
P04/16	Mpower	 [Mpower p=0.2388 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.2388 dcount=0] [Mpower p=0.958008 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.958008 dcount=0]
P04/17	Mpower	 [Mpower p=0.450775 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.450775 dcount=0] [Mpower p=0.0178223 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0178223 dcount=0]
P04/18	Mpower	 [Mpower p=0.00564575 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00564575 dcount=0] [Mpower p=0.583252 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.583252 dcount=0]
P04/19	Mpower	 [Mpower p=0.643066 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.643066 dcount=0] [Mpower p=0.363281 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.363281 dcount=0]
P04/20	Mpower	 [Mpower p=0.678467 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.678467 dcount=0] [Mpower p=0.85791 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.85791 dcount=0]
P04/21	Mpower	 [Mpower p=0.436615 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.436615 dcount=0] [Mpower p=0.199219 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.199219 dcount=0]
P04/22	Mpower	 [Mpower p=0.165283 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.165283 dcount=0] [Mpower p=0.997803 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.997803 dcount=0]
P04/23	Mpower	 [Mpower p=0.874573 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.874573 dcount=0] [Mpower p=0.0349121 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0349121 dcount=0]
P04/24	Mpower	 [Mpower p=0.116852 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.116852 dcount=0] [Mpower p=0.224609 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.224609 dcount=0]
P04/25	Mpower	 [Mpower p=0.248016 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.248016 dcount=0] [Mpower p=0.225098 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.225098 dcount=0]
P04/26	Mpower	 [Mpower p=0.899506 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.899506 dcount=0] [Mpower p=0.769531 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.769531 dcount=0]
P04/27	Mpower	 [Mpower p=0.715271 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.715271 dcount=0] [Mpower p=0.981445 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.981445 dcount=0]
P04/28	Mpower	 [Mpower p=0.654968 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.654968 dcount=0] [Mpower p=0.38501 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.38501 dcount=0]
P04/29	Mpower	 [Mpower p=0.689423 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.689423 dcount=0] [Mpower p=0.19751 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.19751 dcount=0]
P04/30	Mpower	 [Mpower p=0.531403 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.531403 dcount=0] [Mpower p=0.932129 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.932129 dcount=0]
P04/31	Mpower	 [Mpower p=0.623047 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.623047 dcount=0] [Mpower p=0.143799 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.143799 dcount=0]
P04/32	Mpower	 [Mpower p=0.312897 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.312897 dcount=0] [Mpower p=0.123047 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.123047 dcount=0]
P04/33	Mpower	 [Mpower p=0.539856 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.539856 dcount=0] [Mpower p=0.0458984 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0458984 dcount=0]
P04/34	Mpower	 [Mpower p=0.433899 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.433899 dcount=0] [Mpower p=0.0395508 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0395508 dcount=0]
P04/35	Mpower	 [Mpower p=0.283875 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.283875 dcount=0] [Mpower p=0.0319824 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0319824 dcount=0]
P04/36	Mpower	 [Mpower p=0.250305 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.250305 dcount=0] [Mpower p=0.524902 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.524902 dcount=0]
P04/37	Mpower	 [Mpower p=0.00262451 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00262451 dcount=0] [Mpower p=0.776855 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.776855 dcount=0]
P04/38	Mpower	 [Mpower p=0.0657043 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0657043 dcount=0] [Mpower p=0.930176 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.930176 dcount=0]
P04/39	Mpower	 [Mpower p=0.507019 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.507019 dcount=0] [Mpower p=0.943359 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.943359 dcount=0]
P04/40	Mpower	 [Mpower p=0.716797 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.716797 dcount=0] [Mpower p=0.666992 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.666992 dcount=0]
P04/41	Mpower	 [Mpower p=0.191071 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.191071 dcount=0] [Mpower p=0.178711 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.178711 dcount=0]
P04/42	Mpower	 [Mpower p=0.799713 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.799713 dcount=0] [Mpower p=0.910156 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.910156 dcount=0]
P04/43	Mpower	 [Mpower p=0.452606 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.452606 dcount=0] [Mpower p=0.130859 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.130859 dcount=0]
P04/44	Mpower	 [Mpower p=0.0463257 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0463257 dcount=0] [Mpower p=0.250244 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.250244 dcount=0]
P04/45	Mpower	 [Mpower p=0.538971 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.538971 dcount=0] [Mpower p=0.833496 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.833496 dcount=0]
P04/46	Mpower	 [Mpower p=0.733093 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.733093 dcount=0] [Mpower p=0.102539 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.102539 dcount=0]
P04/47	Mpower	 [Mpower p=0.93924 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.93924 dcount=0] [Mpower p=0.80542 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.80542 dcount=0]
P04/48	Mpower	 [Mpower p=0.702209 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.702209 dcount=0] [Mpower p=0.477295 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.477295 dcount=0]
P04/49	Mpower	 [Mpower p=0.0368652 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0368652 dcount=0] [Mpower p=0.799805 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.799805 dcount=0]
P04/50	Mpower	 [Mpower p=0.041626 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.041626 dcount=0] [Mpower p=0.656006 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.656006 dcount=0]
P04/51	Mpower	 [Mpower p=0.616974 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.616974 dcount=0] [Mpower p=0.281738 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.281738 dcount=0]
P04/52	Mpower	 [Mpower p=0.380493 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.380493 dcount=0] [Mpower p=0.343262 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.343262 dcount=0]
P04/53	Mpower	 [Mpower p=0.861176 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.861176 dcount=0] [Mpower p=0.798096 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.798096 dcount=0]
P04/54	Mpower	 [Mpower p=0.4422 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.4422 dcount=0] [Mpower p=0.0432129 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0432129 dcount=0]
P04/55	Mpower	 [Mpower p=0.578918 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.578918 dcount=0] [Mpower p=0.610352 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.610352 dcount=0]
P04/56	Mpower	 [Mpower p=0.793579 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.793579 dcount=0] [Mpower p=0.486816 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.486816 dcount=0]
