cell_id	seed_index	world_seed	checkpoint_sha256	run	subject_mean	subject_sample_sd	subject_MAD_about_median	subject_skewness_bias_corrected	subject_excess_kurtosis_bias_corrected	subject_max_abs_over_rms	orbit_n	orbit_mean	orbit_sample_sd	orbit_q0_5	orbit_q2_5	orbit_q25	orbit_q50	orbit_q75	orbit_q97_5	orbit_q99_5	orbit_skewness_bias_corrected	orbit_excess_kurtosis_bias_corrected	observed	studentization_sd	observed_standardized_score	p_two_sided	p_maxstat
M01	1	20360828.0	712F1F0537F469AE9C7413BEDD14ABACA7D4E4FCE6B7104050622F834FB78EBE	R1	-0.00015191809010719438	0.0004959583996178272	0.0003501076035490956	0.33588281218545907	-0.03986782054343996	2.0454210671366218	65536	-5.268544931921748e-19	0.00012591770384955312	-0.0003080237842523176	-0.00024396156009564172	-8.778805584019379e-05	0	8.778805584019379e-05	0.00024396156009564172	0.00030802378425231737	1.2796476938734381e-14	-0.2937929247379305	-0.00015191809010719438	0.00012591770384955312	-1.2064871377316932	0.237823486328125	0.237823486328125
M01	1	20360828.0	712F1F0537F469AE9C7413BEDD14ABACA7D4E4FCE6B7104050622F834FB78EBE	R2	-0.0002862961840011362	0.0004147328596535125	0.0003059329285127262	0.16769742231616988	-1.8599180827467543	1.63496474212552	8192	-2.371692252312041e-20	0.00013609024546801357	-0.000333389920905358	-0.00026455418447904534	-9.443148398635646e-05	0	9.443148398635646e-05	0.00026455418447904507	0.0003333899209053581	-8.015275717091368e-17	-0.2867340313777458	-0.0002862961840011362	0.00013609024546801357	-2.1037230333192896	0.03076171875	0.03076171875
M01	2	20360829.0	DEF4F33683F5D13B01D8539CB175D768058F1EF4F05FD888B99FB8BD88E51959	R1	-0.00030029845096860356	0.00035434093873686924	0.000297970845752951	-0.06777383885807674	-1.2011605753856007	2.0619862903817547	65536	2.710505431213761e-20	0.00011398807199183355	-0.0002790423905648257	-0.0002210224726420978	-7.945932267074132e-05	0	7.945932267074132e-05	0.0002210224726420978	0.00027904239056482567	-3.408961247190062e-16	-0.2879811842373017	-0.00030029845096860356	0.00011398807199183355	-2.634472587536333	0.00482177734375	0.00482177734375
M01	2	20360829.0	DEF4F33683F5D13B01D8539CB175D768058F1EF4F05FD888B99FB8BD88E51959	R2	-4.024972576327126e-05	0.0004632204490605623	0.00012527311142687068	1.9520672837195738	3.811114892037219	2.6766810563803842	8192	2.202285662861181e-20	0.00012394538939623976	-0.0002767562093561611	-0.0002292279301186885	-9.369851609709493e-05	0	9.369851609709493e-05	0.00022922793011868848	0.0002767562093561613	-1.6975724266849882e-15	-0.6798965549877289	-4.024972576327126e-05	0.00012394538939623976	-0.32473757966581007	0.782958984375	0.782958984375
M01	3	20360830.0	1582BE55B3F31E117CAF569A4FB470D485F265853A6DA7CCE734BFB7C85EEC21	R1	-0.00022994052143540116	0.0004201691625885858	0.00023734482085468502	-0.0509471081911129	0.07832730496836549	2.418063002556646	65536	2.879912020664621e-20	0.00011682899309532927	-0.00028263211585619074	-0.00022449655214516675	-8.267686092778537e-05	0	8.267686092778537e-05	0.00022449655214516675	0.00028263211585619036	1.6464620723639506e-15	-0.3464268417707461	-0.00022994052143540116	0.00011682899309532927	-1.9681802893548521	0.043792724609375	0.043792724609375
M01	3	20360830.0	1582BE55B3F31E117CAF569A4FB470D485F265853A6DA7CCE734BFB7C85EEC21	R2	-0.00029743060743154577	0.00033354038252727327	0.00030648064782845265	0.2612616900069064	-1.1964752441928541	1.721754734041025	8192	1.3552527156068805e-20	0.00012126888771106857	-0.00029669233408973833	-0.00023498216117139248	-8.459621509376489e-05	0	8.459621509376489e-05	0.00023498216117139235	0.0002966923340897384	6.230371817804911e-16	-0.30335252694893056	-0.00029743060743154577	0.00012126888771106857	-2.4526538755776714	0.010009765625	0.010009765625
M01	4	20360831.0	34F2710D90AC972414D94082739F756054902F8F32B3D5FE4A71B28C7929BE32	R1	-0.00017387533010253822	0.0004738258598876087	0.00037888350394664526	0.345038337112439	-0.6350244741754261	1.8031890245454825	65536	-4.743384504624082e-20	0.0001226568676346417	-0.0003025486513028792	-0.00023814331019374917	-8.503282151243372e-05	0	8.503282151243372e-05	0.00023814331019374917	0.00030254865130287885	7.387346051230347e-16	-0.248758671395108	-0.00017387533010253822	0.0001226568676346417	-1.4175751709269235	0.1610107421875	0.1610107421875
M01	4	20360831.0	34F2710D90AC972414D94082739F756054902F8F32B3D5FE4A71B28C7929BE32	R2	-0.00017663857481441567	0.000423322356270867	0.0003251500864433187	0.10534084418857828	-0.7128755279258923	2.0315206291707493	8192	-3.5575383784680614e-20	0.00012298913411480677	-0.00029441274673323024	-0.00023941667349475703	-8.633412335191839e-05	0	8.633412335191839e-05	0.00023941667349475684	0.0002944127467332303	5.158136566281812e-16	-0.33821828427576106	-0.00017663857481441567	0.00012298913411480677	-1.4362128499053315	0.157470703125	0.157470703125
M01	5	20360832.0	34EC86DBD3CCABB031CA9DC8C1A77451046A69CB3DD30DD52406CF1113DF60AE	R1	-0.0002754370994387148	0.00033635293432722344	0.00013185561653955005	0.4638012569760449	-0.20726992490400553	1.8718709724132891	65536	-5.6645328347631335e-21	0.00010663337809848355	-0.00026173813676452074	-0.0002067893381577334	-7.370087643570052e-05	0	7.370087643570052e-05	0.0002067893381577334	0.0002617381367645206	3.6175588326193706e-15	-0.24993314647978027	-0.0002754370994387148	0.00010663337809848355	-2.5830289197471448	0.0064697265625	0.0064697265625
M01	5	20360832.0	34EC86DBD3CCABB031CA9DC8C1A77451046A69CB3DD30DD52406CF1113DF60AE	R2	-0.00019492833628084532	0.0003813089170677591	0.00027663226516076305	-0.6519521168333514	-0.29021050108463786	2.3007219415870326	8192	7.623296525288703e-21	0.00011510203677784527	-0.00026667659596458295	-0.00021937626117956422	-8.256070895627636e-05	0	8.256070895627636e-05	0.00021937626117956416	0.00026667659596458306	-1.5897604132477427e-15	-0.5025225554183734	-0.00019492833628084532	0.00011510203677784527	-1.693526385263453	0.091552734375	0.091552734375
