cell_id	seed_index	world_seed	checkpoint_sha256	run	observed	p_two_sided	p_maxstat
M01	17	20360844.0	A6B90280A396881E24DB657ED5FF5E17CBA851357238191D0C62AA322E06527E	R1	-0.0005352924599216152	0.00152587890625	0.00152587890625
M01	17	20360844.0	A6B90280A396881E24DB657ED5FF5E17CBA851357238191D0C62AA322E06527E	R2	-0.0004355758926084715	0.001708984375	0.001708984375
M01	18	20360845.0	FA308A875E380F4E40FB532A3BC0335536DE26263012D259CEF3C0E0C486B235	R1	-0.00021373143356977924	0.0135498046875	0.0135498046875
M01	18	20360845.0	FA308A875E380F4E40FB532A3BC0335536DE26263012D259CEF3C0E0C486B235	R2	-0.00010285089181127281	0.3564453125	0.3564453125
M01	19	20360846.0	A1AB220BEF0B52ACD490B9D5C3B6C72461036370ACB3CB9A4B48CF4FBD36CDE6	R1	-0.000336693155682032	0.0018310546875	0.0018310546875
M01	19	20360846.0	A1AB220BEF0B52ACD490B9D5C3B6C72461036370ACB3CB9A4B48CF4FBD36CDE6	R2	-0.00019505973044579435	0.08642578125	0.08642578125
M01	20	20360847.0	3AF4B7FE4AC9CE5B9897D256201B6D55C011C571528FAE30E39EF449AC526346	R1	-0.0002929180251827791	0.003936767578125	0.003936767578125
M01	20	20360847.0	3AF4B7FE4AC9CE5B9897D256201B6D55C011C571528FAE30E39EF449AC526346	R2	-0.0003134267965258652	0.003662109375	0.003662109375
M01	21	20360848.0	A3AD0516248A2032E884B7984C20787204914019F9272B49FE26BD40232A7E79	R1	-0.00043474575902206547	0.00018310546875	0.00018310546875
M01	21	20360848.0	A3AD0516248A2032E884B7984C20787204914019F9272B49FE26BD40232A7E79	R2	-0.00016379870176495804	0.12255859375	0.12255859375
M01	22	20360849.0	3CF77C5213C1F9F9713C5C854B1BC5B7577AECF0A2E8D20B476C696F5E3A1BC1	R1	-0.00027266051798825833	0.01678466796875	0.01678466796875
M01	22	20360849.0	3CF77C5213C1F9F9713C5C854B1BC5B7577AECF0A2E8D20B476C696F5E3A1BC1	R2	-3.247414466304329e-05	0.81494140625	0.81494140625
M01	23	20360850.0	949C249B37515A3AD7BBD7EAC5B53E0F0D1E4FE360054F947BC777E667A527B5	R1	-0.0002603191457442029	0.037841796875	0.037841796875
