arm	reducer	run	n_worlds	mean_p	p_lt_0p5_count	p_lt_0p5_fraction	p_lt_0p5_cp_low	p_lt_0p5_cp_high	p_gt_0p75_count	p_gt_0p75_fraction	p_gt_0p75_cp_low	p_gt_0p75_cp_high
P0F	median	R1	60	0.1819483439127604	52	0.8666666666666667	0.7540777788695802	0.9406355772946428	3	0.05	0.010432329644348225	0.13924324672107277
P0F	median	R2	60	0.21422932942708334	53	0.8833333333333333	0.7742838468543517	0.951785158128658	6	0.1	0.03759126910856603	0.20505773670806393
P0F	mean	R1	60	0.44476114908854164	34	0.5666666666666667	0.4324096535546156	0.6941185731578272	13	0.21666666666666667	0.12071602446269675	0.3419561787346524
P0F	mean	R2	60	0.4251627604166667	38	0.6333333333333333	0.4989692823562928	0.754059389562713	7	0.11666666666666667	0.048214841871341924	0.22571615314564827
