seed_index	world_seed	mode	arm	kappa	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
1	22360828	benchmark	P0F	0	CS57	R1	mean	0.00013112288740835	12	12	1.45890040871147	0.333333333333333	0
1	22360828	benchmark	P0F	0	CS57	R2	median	4.21290775129708e-05	12	12	0.878246499203902	0.5	0
1	22360828	benchmark	P0F	0	CS57	R2	mean	0.000292495090438333	12	12	0.878246499203902	0.5	0
1	22360828	benchmark	P0F	0	CS58	R1	median	2.96468405836443e-05	7	7	-0.652738643762106	0.571428571428571	0
1	22360828	benchmark	P0F	0	CS58	R1	mean	0.00012007170867327	7	7	-0.652738643762106	0.571428571428571	0
1	22360828	benchmark	P0F	0	CS60	R1	median	-4.6595129430137e-05	14	14	2.17351248689033	0.428571428571429	0
1	22360828	benchmark	P0F	0	CS60	R1	mean	0.0002281238473312	14	14	2.17351248689033	0.428571428571429	0
1	22360828	benchmark	P0F	0	CS62	R1	median	-0.00103069779676776	7	7	0.434647670689277	0.428571428571429	0
1	22360828	benchmark	P0F	0	CS62	R1	mean	-0.000148378902378003	7	7	0.434647670689277	0.428571428571429	0
1	22360828	benchmark	P0F	0	CS62	R2	median	-0.000381501512024917	7	7	0.900943635724964	0.428571428571429	0
1	22360828	benchmark	P0F	0	CS62	R2	mean	-5.35624643624231e-05	7	7	0.900943635724964	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS41	R1	median	-5.65947009869037e-05	14	14	0.0641813525333618	0.5	0
2	22360829	benchmark	P0F	0	CS41	R1	mean	-0.000193777479266485	14	14	0.0641813525333618	0.5	0
2	22360829	benchmark	P0F	0	CS41	R2	median	-0.000202644662547333	14	14	0.0449911443514836	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS41	R2	mean	-0.000190131741144437	14	14	0.0449911443514836	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS42	R1	median	-0.000182510056629518	14	14	0.0965244704095756	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS42	R1	mean	-0.000298095842037994	14	14	0.0965244704095756	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS42	R2	median	-0.000329975564728496	14	14	0.604579123535561	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS42	R2	mean	-2.14738219226157e-05	14	14	0.604579123535561	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS43	R1	median	0.000141811783970282	14	14	-0.0901492472384185	0.5	0
2	22360829	benchmark	P0F	0	CS43	R1	mean	0.000116474653472968	14	14	-0.0901492472384185	0.5	0
2	22360829	benchmark	P0F	0	CS43	R2	median	7.3851018037152e-05	14	14	0.895879741567424	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS43	R2	mean	0.000475393664569932	14	14	0.895879741567424	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS44	R1	median	8.71187992182003e-05	14	14	0.760437362118369	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS44	R1	mean	0.000196807188844564	14	14	0.760437362118369	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS47	R1	median	-0.000111990699787893	14	14	1.06158989930089	0.357142857142857	0
2	22360829	benchmark	P0F	0	CS47	R1	mean	-0.000122639473231662	14	14	1.06158989930089	0.357142857142857	0
2	22360829	benchmark	P0F	0	CS47	R2	median	0.000225160490203617	14	14	0.18920436345876	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS47	R2	mean	0.000335085444827985	14	14	0.18920436345876	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS48	R1	median	0.000214899768597846	14	14	1.23046048621017	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS48	R1	mean	0.000899913568689138	14	14	1.23046048621017	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS48	R2	median	5.79138654061949e-05	14	14	0.616824188442459	0.5	0
2	22360829	benchmark	P0F	0	CS48	R2	mean	0.000147011994146294	14	14	0.616824188442459	0.5	0
2	22360829	benchmark	P0F	0	CS49	R1	median	-0.000173382775989384	12	12	0.601599034518407	0.416666666666667	0
2	22360829	benchmark	P0F	0	CS49	R1	mean	-3.32473690970174e-05	12	12	0.601599034518407	0.416666666666667	0
2	22360829	benchmark	P0F	0	CS49	R2	median	0.0002219702623651	14	14	0.510915325538055	0.642857142857143	0
2	22360829	benchmark	P0F	0	CS49	R2	mean	0.000269226373486484	14	14	0.510915325538055	0.642857142857143	0
2	22360829	benchmark	P0F	0	CS51	R1	median	-0.000545677573988115	14	14	0.366856389389059	0.214285714285714	0
2	22360829	benchmark	P0F	0	CS51	R1	mean	-0.000428798707726393	14	14	0.366856389389059	0.214285714285714	0
2	22360829	benchmark	P0F	0	CS51	R2	median	-0.000339182141212355	12	12	1.90048901116901	0.25	0
2	22360829	benchmark	P0F	0	CS51	R2	mean	-2.78180760587694e-05	12	12	1.90048901116901	0.25	0
2	22360829	benchmark	P0F	0	CS53	R1	median	-0.000493305660377226	12	12	0.215144890976883	0.25	0
2	22360829	benchmark	P0F	0	CS53	R1	mean	-0.00046308780391086	12	12	0.215144890976883	0.25	0
2	22360829	benchmark	P0F	0	CS53	R2	median	0.000202103182812468	8	8	0.534177956053395	0.625	0
2	22360829	benchmark	P0F	0	CS53	R2	mean	0.000251615396888965	8	8	0.534177956053395	0.625	0
2	22360829	benchmark	P0F	0	CS54	R1	median	0.000126811465397296	7	7	1.62472293987199	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS54	R1	mean	0.000423994265130469	7	7	1.62472293987199	0.571428571428571	0
2	22360829	benchmark	P0F	0	CS54	R2	median	0.000100422889137011	7	7	-0.103415870320563	0.714285714285714	0
2	22360829	benchmark	P0F	0	CS54	R2	mean	0.000209534114051579	7	7	-0.103415870320563	0.714285714285714	0
2	22360829	benchmark	P0F	0	CS55	R1	median	0.000354146724774614	14	14	-0.669125206958483	0.642857142857143	0
2	22360829	benchmark	P0F	0	CS55	R1	mean	0.000145445532402358	14	14	-0.669125206958483	0.642857142857143	0
2	22360829	benchmark	P0F	0	CS55	R2	median	-0.000215994845457119	14	14	1.25490464912858	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS55	R2	mean	0.00018873251757096	14	14	1.25490464912858	0.428571428571429	0
2	22360829	benchmark	P0F	0	CS56	R1	median	-0.00046272167962262	12	12	0.234841708559585	0.166666666666667	0
2	22360829	benchmark	P0F	0	CS56	R1	mean	-0.000442571072197506	12	12	0.234841708559585	0.166666666666667	0
2	22360829	benchmark	P0F	0	CS56	R2	median	-8.38015693395686e-05	12	12	0.0825930304902647	0.416666666666667	0
2	22360829	benchmark	P0F	0	CS56	R2	mean	-7.53338236181698e-05	12	12	0.0825930304902647	0.416666666666667	0
2	22360829	benchmark	P0F	0	CS57	R1	median	-4.74227594768629e-05	12	12	0.457750498117025	0.5	0
2	22360829	benchmark	P0F	0	CS57	R1	mean	5.91086149222686e-05	12	12	0.457750498117025	0.5	0
2	22360829	benchmark	P0F	0	CS57	R2	median	0.000158282590972813	12	12	-0.148817092875336	0.583333333333333	0
2	22360829	benchmark	P0F	0	CS57	R2	mean	1.80797292844336e-05	12	12	-0.148817092875336	0.583333333333333	0
2	22360829	benchmark	P0F	0	CS58	R1	median	-0.000151203499799397	7	7	0.312463630891427	0.142857142857143	0
2	22360829	benchmark	P0F	0	CS58	R1	mean	-0.000134109513184518	7	7	0.312463630891427	0.142857142857143	0
2	22360829	benchmark	P0F	0	CS60	R1	median	-0.000183512345574805	14	14	1.80862237779494	0.357142857142857	0
2	22360829	benchmark	P0F	0	CS60	R1	mean	-5.54050283665601e-06	14	14	1.80862237779494	0.357142857142857	0
2	22360829	benchmark	P0F	0	CS62	R1	median	-0.000326613179873767	7	7	1.19080999004458	0.285714285714286	0
2	22360829	benchmark	P0F	0	CS62	R1	mean	-0.000172668615066621	7	7	1.19080999004458	0.285714285714286	0
2	22360829	benchmark	P0F	0	CS62	R2	median	-0.000833054869320781	7	7	1.35322430384678	0.142857142857143	0
