reducer	run	n	both_reject	p0f_only_reject	p0stageb_only_reject	neither_reject	fpr_p0f	fpr_p0_stageb	delta_p0f_minus_stageb	ci_low	ci_high
mean	R1	60	2	2	10	46	0.06666666666666667	0.2	-0.13333333333333333	-0.2533423749418945	-0.01722823563444241
mean	R2	60	0	4	7	49	0.06666666666666667	0.11666666666666667	-0.05	-0.16623882453617564	0.06451225557088183
median	R1	60	27	3	18	12	0.5	0.75	-0.25	-0.37877685601072886	-0.10589549370536261
median	R2	60	13	7	20	20	0.3333333333333333	0.55	-0.21666666666666667	-0.367427931366986	-0.04878819301763565
