seed_index	world_seed	mode	arm	kappa	gain_slope_b	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
4	22360831	benchmark	P0F	0	0	mean	R2	13	6.2186990519432e-05	0.32177734375	6.10150991984867e-05	-0.495486102962861	9	4	0	0.692307692307692	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
5	22360832	benchmark	P0F	0	0	median	R1	16	-0.000191911728578209	0.013885498046875	8.05189140241375e-05	0.729747436981094	4	12	0	0.25	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0F	0	0	median	R2	13	-8.58941696477127e-05	0.28564453125	7.83368837317919e-05	0.474862466507198	4	9	0	0.307692307692308	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0F	0	0	mean	R1	16	-3.03148927755066e-05	0.55303955078125	4.93235331504496e-05	0.00154113495181465	7	9	0	0.4375	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0F	0	0	mean	R2	13	0.000101285303692014	0.3984375	0.0001084341428148	1.13691878875583	7	6	0	0.538461538461538	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
6	22360833	benchmark	P0F	0	0	median	R1	16	-0.000226167249591141	0.042694091796875	0.00011350035236166	-0.115537876492776	4	12	0	0.25	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0F	0	0	median	R2	13	-0.000235397963535482	0.022705078125	0.000107974210711966	-0.19692996284944	3	10	0	0.230769230769231	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0F	0	0	mean	R1	16	-3.54732098172866e-05	0.66839599609375	7.98315479510256e-05	-0.176845423571661	8	8	0	0.5	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0F	0	0	mean	R2	13	6.22298568986313e-05	0.47119140625	8.34300984604434e-05	-0.0602906934586435	8	5	0	0.615384615384615	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
7	22360834	benchmark	P0F	0	0	median	R1	16	-0.000242420313963172	0.0068359375	9.3696738647252e-05	0.934056644979968	3	13	0	0.1875	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
