opaque_id	run	n_worlds	rejections_alpha_0_05	fpr	cp95_low	cp95_high	mcse	observed_mean
PanelMember-01	R1	120	4	0.03333333333333333	0.009155505556836708	0.08314872142851014	0.016386534670836252	-2.0108330062318796e-05
PanelMember-01	R2	120	9	0.075	0.03486739061196212	0.13760105789036722	0.024044230077089182	1.050548038342471e-05
PanelMember-02	R1	120	41	0.3416666666666667	0.2575543476518658	0.43380059718495123	0.043294587378750894	-0.00015712198444796195
PanelMember-02	R2	120	34	0.2833333333333333	0.20485566786352274	0.37282053842171126	0.04113550327429615	-0.00014042461193580037
PanelMember-03	R1	120	60	0.5	0.40736926744019714	0.5926307325598028	0.04564354645876384	-0.00020692290268774327
PanelMember-03	R2	120	47	0.39166666666666666	0.30385670055355185	0.48495625584291707	0.04455931336328476	-0.00020383397114249002
PanelMember-04	R1	120	120	1.0	0.9697270274225799	1.0	0.0	-0.002765045311715455
PanelMember-04	R2	120	120	1.0	0.9697270274225799	1.0	0.0	-0.002749748996216775
