opaque_mutated	opaque_reference	run	K10	K01	risk_difference	exact_mcnemar_p_two_sided
PanelMember-03	PanelMember-02	R1	26	7	0.15833333333333333	0.0013187271542847157
PanelMember-03	PanelMember-02	R2	19	6	0.10833333333333334	0.01463329792022705
