opaque_id	seed_index	world_seed	checkpoint_sha256	run	observed	p_two_sided	reject_alpha_0_05	domain_fraction	elapsed_s	peak_memory_bytes
PanelMember-04	1	91500001.0	410E1AA12877D7F6669A8B0FFBD1AC93BC23C09A680D7590BC046288E1E2D8F6	R1	-0.0026543467078969825	3.0517578125e-05	1	0.00880641430256223	423.7564256	3279785984.0
PanelMember-04	1	91500001.0	410E1AA12877D7F6669A8B0FFBD1AC93BC23C09A680D7590BC046288E1E2D8F6	R2	-0.002911644877968354	0.000244140625	1	0.00880641430256223	423.7564256	3279785984.0
PanelMember-04	2	91500002.0	826853C8D9231D76F6B49ADF42A671DC0E113D0F924919473BE14D48E240C073	R1	-0.0030809433202651946	3.0517578125e-05	1	0.00880641430256223	423.1881062	3249192960.0
PanelMember-04	2	91500002.0	826853C8D9231D76F6B49ADF42A671DC0E113D0F924919473BE14D48E240C073	R2	-0.0031337134416500423	0.000244140625	1	0.00880641430256223	423.1881062	3249192960.0
PanelMember-04	3	91500003.0	54B8700776A402E749285E3272C04E20015BD03EEE46E046DC640B2F0DD42D56	R1	-0.002718287152393165	3.0517578125e-05	1	0.00880641430256223	422.3603579	3274407936.0
PanelMember-04	3	91500003.0	54B8700776A402E749285E3272C04E20015BD03EEE46E046DC640B2F0DD42D56	R2	-0.0024459102191471543	0.000244140625	1	0.00880641430256223	422.3603579	3274407936.0
PanelMember-04	4	91500004.0	D3A744BA6C634ECB8237338B000107FE645D2C67A6BA4CA8D15963ADB13C7B2B	R1	-0.002934775026001431	3.0517578125e-05	1	0.00880641430256223	430.6417196	3282296832.0
PanelMember-04	4	91500004.0	D3A744BA6C634ECB8237338B000107FE645D2C67A6BA4CA8D15963ADB13C7B2B	R2	-0.0026885557810085283	0.000244140625	1	0.00880641430256223	430.6417196	3282296832.0
PanelMember-04	5	91500005.0	DA3E2EB1D23602F44E827E58C5E215F0E07C0E4CAFD593FF4084A3921A89629E	R1	-0.0027754228526584274	3.0517578125e-05	1	0.00880641430256223	429.5202487	3283763200.0
PanelMember-04	5	91500005.0	DA3E2EB1D23602F44E827E58C5E215F0E07C0E4CAFD593FF4084A3921A89629E	R2	-0.0027866131524961588	0.000244140625	1	0.00880641430256223	429.5202487	3283763200.0
PanelMember-04	6	91500006.0	FB51F50B4038C699FE86E97FB732FF1DB542395C84FADC5172B5D277B6731F15	R1	-0.002697161214114949	3.0517578125e-05	1	0.00880641430256223	416.187843	3274256384.0
PanelMember-04	6	91500006.0	FB51F50B4038C699FE86E97FB732FF1DB542395C84FADC5172B5D277B6731F15	R2	-0.0026983181065808677	0.000244140625	1	0.00880641430256223	416.187843	3274256384.0
PanelMember-04	7	91500007.0	D6EEF11BED61930FA251607AD809F8A3FAB6D9684C5D544E9F859C4DF4524157	R1	-0.0029184154097506776	3.0517578125e-05	1	0.00880641430256223	417.7294098	3283775488.0
PanelMember-04	7	91500007.0	D6EEF11BED61930FA251607AD809F8A3FAB6D9684C5D544E9F859C4DF4524157	R2	-0.002452993876133345	0.000244140625	1	0.00880641430256223	417.7294098	3283775488.0
PanelMember-04	8	91500008.0	A3C9ECC5208952DF25EA7FECAE5C340224B4E2C87669AF1978064BEF5377D10D	R1	-0.0028755968210636097	3.0517578125e-05	1	0.00880641430256223	418.7814205	3263537152.0
PanelMember-04	8	91500008.0	A3C9ECC5208952DF25EA7FECAE5C340224B4E2C87669AF1978064BEF5377D10D	R2	-0.0029533540466169	0.000244140625	1	0.00880641430256223	418.7814205	3263537152.0
PanelMember-04	9	91500009.0	E2B9CBF2A7E5F2FEF4692E7BACC0B48E007C1192F9329672F33B07E2EB24D332	R1	-0.002531549885184392	3.0517578125e-05	1	0.00880641430256223	421.5383838	3278209024.0
PanelMember-04	9	91500009.0	E2B9CBF2A7E5F2FEF4692E7BACC0B48E007C1192F9329672F33B07E2EB24D332	R2	-0.0027863773856260337	0.000244140625	1	0.00880641430256223	421.5383838	3278209024.0
PanelMember-04	10	91500010.0	D42F0982EED9268A8608A18590151F0284926ED7DCFE310AC49F697B08436579	R1	-0.0026034914140190377	3.0517578125e-05	1	0.00880641430256223	420.9885961	3277631488.0
PanelMember-04	10	91500010.0	D42F0982EED9268A8608A18590151F0284926ED7DCFE310AC49F697B08436579	R2	-0.002714525725913906	0.000244140625	1	0.00880641430256223	420.9885961	3277631488.0
PanelMember-04	11	91500011.0	B90888613C13959B63E58301B65A295DC98E3DE1277B90710F27B1883362C6A0	R1	-0.0026737720351427655	3.0517578125e-05	1	0.00880641430256223	423.5028764	3272364032.0
PanelMember-04	11	91500011.0	B90888613C13959B63E58301B65A295DC98E3DE1277B90710F27B1883362C6A0	R2	-0.003158892859398878	0.000244140625	1	0.00880641430256223	423.5028764	3272364032.0
PanelMember-04	12	91500012.0	D848DC6A072E156535A70CC3729BCD774588DCB9DA90AE78ACF7249383FD1442	R1	-0.0028623683947751957	3.0517578125e-05	1	0.00880641430256223	424.8367657	3280261120.0
PanelMember-04	12	91500012.0	D848DC6A072E156535A70CC3729BCD774588DCB9DA90AE78ACF7249383FD1442	R2	-0.002973930495093033	0.000244140625	1	0.00880641430256223	424.8367657	3280261120.0
PanelMember-04	13	91500013.0	F854A1B6D3DE580CA8D51E39985E3A08929E8546523B201099ABE8124A21C96F	R1	-0.002719300065508352	3.0517578125e-05	1	0.00880641430256223	471.6484957	3256238080.0
PanelMember-04	13	91500013.0	F854A1B6D3DE580CA8D51E39985E3A08929E8546523B201099ABE8124A21C96F	R2	-0.002825347493583454	0.000244140625	1	0.00880641430256223	471.6484957	3256238080.0
PanelMember-04	14	91500014.0	DB7C6A6F2477F11448189726BE38545FF71DA6AE8D3FEB04CF94C0B691E32332	R1	-0.002732663410917982	3.0517578125e-05	1	0.00880641430256223	429.4378049	3251941376.0
PanelMember-04	14	91500014.0	DB7C6A6F2477F11448189726BE38545FF71DA6AE8D3FEB04CF94C0B691E32332	R2	-0.0028663893300872193	0.000244140625	1	0.00880641430256223	429.4378049	3251941376.0
PanelMember-04	15	91500015.0	5ED38D02B8738DA583540AE3B4DBED4D412F4DBCEC5F8499A4C1A632B6948392	R1	-0.002676723990943129	3.0517578125e-05	1	0.00880641430256223	404.3028837	3251048448.0
PanelMember-04	15	91500015.0	5ED38D02B8738DA583540AE3B4DBED4D412F4DBCEC5F8499A4C1A632B6948392	R2	-0.0027943420310116685	0.000244140625	1	0.00880641430256223	404.3028837	3251048448.0
PanelMember-04	16	91500016.0	E47DCFEC4E50431B59B9981C1B6AEA253EB47B0D5151D66D505B328F8BB8215F	R1	-0.002814718283541775	3.0517578125e-05	1	0.00880641430256223	405.2096408	3247968256.0
PanelMember-04	16	91500016.0	E47DCFEC4E50431B59B9981C1B6AEA253EB47B0D5151D66D505B328F8BB8215F	R2	-0.002609117218976394	0.000244140625	1	0.00880641430256223	405.2096408	3247968256.0
PanelMember-04	17	91500017.0	99CA4FB5DEAD4BD77B9AD9C3B22F709CE4F3F3A62CAB93A5645F9A0CEA17A496	R1	-0.0027310670374066015	3.0517578125e-05	1	0.00880641430256223	416.7252716	3247394816.0
PanelMember-04	17	91500017.0	99CA4FB5DEAD4BD77B9AD9C3B22F709CE4F3F3A62CAB93A5645F9A0CEA17A496	R2	-0.002646221544222402	0.000244140625	1	0.00880641430256223	416.7252716	3247394816.0
PanelMember-04	18	91500018.0	AE80D627C78A1AD83B3B5B18DA2CE3DD5BC4F0032A43BC46FFF8C6C091A72B86	R1	-0.002764999163118808	3.0517578125e-05	1	0.00880641430256223	471.9499207	3283320832.0
PanelMember-04	18	91500018.0	AE80D627C78A1AD83B3B5B18DA2CE3DD5BC4F0032A43BC46FFF8C6C091A72B86	R2	-0.0026913449764313967	0.000244140625	1	0.00880641430256223	471.9499207	3283320832.0
PanelMember-04	19	91500019.0	4F1AA78A10E71B89082448AEA3119A8D2A041E65DD6F57DEA959FD21AAF9AF8F	R1	-0.0027126551811860523	3.0517578125e-05	1	0.00880641430256223	432.0132698	3283017728.0
PanelMember-04	19	91500019.0	4F1AA78A10E71B89082448AEA3119A8D2A041E65DD6F57DEA959FD21AAF9AF8F	R2	-0.0028677745697956196	0.000244140625	1	0.00880641430256223	432.0132698	3283017728.0
PanelMember-04	20	91500020.0	5C465500A89C903E840C2074A45DCB1BDEFCDE78944F8789FFA8778DA8734D46	R1	-0.002670146959776972	3.0517578125e-05	1	0.00880641430256223	406.423414	3281846272.0
PanelMember-04	20	91500020.0	5C465500A89C903E840C2074A45DCB1BDEFCDE78944F8789FFA8778DA8734D46	R2	-0.0026484163934361333	0.000244140625	1	0.00880641430256223	406.423414	3281846272.0
