effect_index	a_erp_uV	run	n_worlds	rejections_alpha_0_05	rejection_rate	ci95_low	ci95_high	mcse	slope_mean_log10_per_z	slope_sd_log10_per_z	contract_sha256
2	0.105754705888294	R1	100	11	0.11	0.05620702028548746	0.18830113219644257	0.03128897569432403	1.8392772023914672e-05	0.0017225569901378312	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
2	0.105754705888294	R2	100	4	0.04	0.011004493986188198	0.09925715671265992	0.019595917942265423	0.00026751308356916427	0.001550170434568736	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
3	0.426634595351472	R1	100	3	0.03	0.006229971538306395	0.08517605297428002	0.01705872210923198	9.21092642953652e-06	0.001533077980306396	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
3	0.426634595351472	R2	100	5	0.05	0.016431879182052155	0.11283491110546275	0.021794494717703367	-0.00011260992866306994	0.0017223716490304439	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
4	0.515610691837865	R1	100	6	0.06	0.022334886071316368	0.12602993458082296	0.023748684174075833	-0.00046708732386352615	0.0017366112362740647	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
4	0.515610691837865	R2	100	2	0.02	0.0024313368239425423	0.07038393247107011	0.014	-0.00034923864736867964	0.0015778682913862585	CF9C9B989644C346544AAE5F982F3644C2718A66E645CB9C196F48B8D89690BE
