run	estimator_family	n_worlds	rejections_alpha_0_05	fpr	ci95_low	ci95_high	mcse	null_mean	null_sd	null_mean_over_sd	seed_count	contract_sha256
R1	Mpower	400	17	0.0425	0.024949619202114765	0.06717611443869687	0.010086345968684596	-8.95132322634857e-05	0.00159208132839615	-0.05622403244541572	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
R1	Mphase	400	155	0.3875	0.3394952160921637	0.43718244546227064	0.024358969087381346	-0.000159067379603407	9.80777672590579e-05	-1.6218495184872435	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
R1	family_max_observed	400	128	0.32	0.27451632702950823	0.36817179217842466	0.0233238075793812	1.7875153334354017	0.7328472586362196	2.4391376407163614	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
R2	Mpower	400	13	0.0325	0.017416146084212134	0.05493481675069276	0.008866192813152667	-3.88250323422332e-05	0.00172528059722505	-0.02250360457578876	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
R2	Mphase	400	131	0.3275	0.28168499128939384	0.3758905992325482	0.023465067121148406	-0.000153155799172993	0.00010724653581411	-1.428072226393003	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
R2	family_max_observed	400	100	0.25	0.2083015066819634	0.2954417186353168	0.021650635094610966	1.6253883486068232	0.6724637605674898	2.4170645972582427	400	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
