reference_type	run	metric	n_worlds	rejections_alpha_0_05	fpr	cp95_low_recomputed	cp95_high_recomputed	mcse	null_mean	null_sd	historical_contract_sha256
historical_A0_reference_not_grid_cell	R1	Mpower	400	17	0.0425	0.024949619202114765	0.06717611443869687	0.010086345968684596	-8.95132322634857e-05	0.00159208132839615	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
historical_A0_reference_not_grid_cell	R2	Mpower	400	13	0.0325	0.017416146084212134	0.05493481675069276	0.008866192813152667	-3.88250323422332e-05	0.00172528059722505	E0930B71CE91CD1641EDD9B1F7A1012C7DBB7769458ACB96386CA5892EAF8CEF
