grid_id	grid_index	seed_index	seed	run	A_uV	beta_gen	true_bridge_slope	observed_slope	p_two_sided_mpower	reject_alpha_0_05	ci_theta_low	ci_theta_high	ci_noncontiguous	theta_at_truth_grid	p_at_truth_grid	truth_grid_distance	truth_in_ci	robustfit_fit_count	robustfit_iteration_limit_count	elapsed_s	peak_memory_bytes	checkpoint_filename	checkpoint_sha256	paper_contract_sha256	parent_historical_contract_sha256
G06	6	231	91206231	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.000686215659835989	0.720306396484375	0	-0.004709999999999999	0.0032600000000000025	False	0.004480000000000001	0.01318359375	8.673617379884035e-19	False	1332264.0	40273.0	367.6820558	3137966080.0	world_g06_n231.mat	0205CC3D71BD8A06ED93331FD457E25F0DCA7E5161B42F68F93ABAF62E6713D9	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	231	91206231	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0015548096698640669	0.388671875	0	-0.00541	0.002230000000000003	False	0.004480000000000001	0.005859375	8.673617379884035e-19	False	1332264.0	40273.0	367.6820558	3137966080.0	world_g06_n231.mat	0205CC3D71BD8A06ED93331FD457E25F0DCA7E5161B42F68F93ABAF62E6713D9	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	232	91206232	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0024203637464053148	0.080322265625	0	-0.00516	0.0003499999999999996	False	0.004480000000000001	0.00030517578125	8.673617379884035e-19	False	1332264.0	40297.0	375.0407021	3163185152.0	world_g06_n232.mat	FA7B6342EA11811B05A692448467B0D062BEBBF3E9123A683919D8EEA94327F2	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	232	91206232	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0037852234866158603	0.067138671875	0	-0.007949999999999999	0.00032000000000000084	False	0.004480000000000001	0.00048828125	8.673617379884035e-19	False	1332264.0	40297.0	375.0407021	3163185152.0	world_g06_n232.mat	FA7B6342EA11811B05A692448467B0D062BEBBF3E9123A683919D8EEA94327F2	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	233	91206233	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0012374030882830722	0.401031494140625	0	-0.00434	0.0018700000000000001	False	0.004480000000000001	0.001861572265625	8.673617379884035e-19	False	1332264.0	40013.0	371.0985043	3163275264.0	world_g06_n233.mat	F704542A558384AAB3E88FFB409E4A2968C6C633BF2A639B59233232082274F5	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	233	91206233	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	0.00025165505491373576	0.902099609375	0	-0.00408	0.004360000000000003	False	0.004480000000000001	0.04541015625	8.673617379884035e-19	False	1332264.0	40013.0	371.0985043	3163275264.0	world_g06_n233.mat	F704542A558384AAB3E88FFB409E4A2968C6C633BF2A639B59233232082274F5	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	234	91206234	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.00574234645038755	0.00396728515625	1	-0.00947	-0.0020799999999999985	False	0.004480000000000001	9.1552734375e-05	8.673617379884035e-19	False	1332264.0	39984.0	373.8708404	3163209728.0	world_g06_n234.mat	3235E71098FBCCC9FA5B9188BCC235B399485448B3D6061BAF4C60AEB039317E	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	234	91206234	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.002325417531736882	0.251953125	0	-0.006619999999999999	0.0017600000000000011	False	0.004480000000000001	0.00341796875	8.673617379884035e-19	False	1332264.0	39984.0	373.8708404	3163209728.0	world_g06_n234.mat	3235E71098FBCCC9FA5B9188BCC235B399485448B3D6061BAF4C60AEB039317E	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	235	91206235	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0005753056786237614	0.68267822265625	0	-0.0035600000000000007	0.0024300000000000016	False	0.004480000000000001	0.00390625	8.673617379884035e-19	False	1332264.0	40179.0	373.2783213	3163217920.0	world_g06_n235.mat	E9FD33BFC6B6E40F42F64C31B27A072F00273A28BCECBED58A01F1DA323D2D74	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	235	91206235	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	0.0007185338150201761	0.6708984375	0	-0.002999999999999999	0.0044500000000000026	False	0.004480000000000001	0.048828125	8.673617379884035e-19	False	1332264.0	40179.0	373.2783213	3163217920.0	world_g06_n235.mat	E9FD33BFC6B6E40F42F64C31B27A072F00273A28BCECBED58A01F1DA323D2D74	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
