label_index	label_time_s	z_e	luminance_pre	luminance_post	luminance_delta	rms_contrast_pre	rms_contrast_post	rms_contrast_delta	global_motion_pre	global_motion_post	global_motion_delta	SF_low_pre	SF_low_post	SF_low_delta	SF_mid_pre	SF_mid_post	SF_mid_delta	SF_high_pre	SF_high_post	SF_high_delta	edge_density_pre	edge_density_post	edge_density_delta	novelty_pre	novelty_post	novelty_delta	audio_rms_envelope_pre	audio_rms_envelope_post	audio_rms_envelope_delta	source_complete	movie_time_linear	movie_time_quadratic	luminance_delta_z	rms_contrast_delta_z	global_motion_delta_z	SF_low_delta_z	SF_mid_delta_z	SF_high_delta_z	edge_density_delta_z	novelty_delta_z	audio_rms_envelope_delta_z	movie_time_linear_z	movie_time_quadratic_z
0	3.5	-0.59699225859600002	0.20628794059157399	0.20767039880156499	0.0013824582099915301	0.971181812882423	0.98638688921928397	0.0152050763368609	0.37154074925929298	0.43778954893350602	0.066248799674213002	0.977440321445465	0.98010080754756901	0.0026604861021042301	0.0216733747161925	0.019073449540883299	-0.0025999251753091798	0.00088631393737159702	0.00082575190172064997	-6.0562035650946199e-05	0.016355952510127302	0.016957826967592599	0.00060187445746527602	0.0072342507977737102	0.0087647492531687	0.0015304984553949901	0.184609172340052	0.0148601769063371	-0.16974899543371499	1	-237.375	56346.890625	0.049352982990498201	-0.0118077133727946	0.045205591027635099	0.080488749668447199	-0.13661215461545001	-0.040025108032666602	0.078970954133219307	0.101062823299923	-1.9906818638234001	-1.7306838186814599	2.2319525408659802
1	3.75	-0.91678479320999995	0.20541403433308	0.20662604039534899	0.00121200606226923	0.97050783876329705	1.0053344633430199	0.0348266245797276	0.522449970431626	0.34102372876368398	-0.181426241667941	0.97897136453539102	0.97982374001294403	0.00085237547755256905	0.0201661491126288	0.019335871277144201	-0.00083027783548459203	0.00086245435686578304	0.00084040208530495903	-2.2052271560824e-05	0.0164011637369792	0.016887092590332001	0.00048592885335286401	0.010982769001566301	0.0074403920734766801	-0.0035423769280896501	0.037170210586773701	0.0140638276376591	-0.023106382949114601	1	-237.125	56228.265625	0.044246347938745198	0.00158783571664831	-0.132080507472741	0.040362018081045302	-0.0587582157310058	-0.037506727458149598	0.063964978650276005	-0.23636310115404	-0.27334355416015899	-1.7288610869082299	2.2249005581144199
4	4.5	4.1750393859999999	0.20478945598006201	0.280575833469629	0.075786377489566806	1.01512165665627	0.78338193297386205	-0.231739723682404	0.37737307259812902	1.76918620318174	1.3918131305836099	0.97991752624511697	0.970541003346443	-0.0093765228986738593	0.019229710288345799	0.028562340047210401	0.0093326297588646294	0.00085275748278945695	0.00089664926344994395	4.3891780660487802e-05	0.016928213614004602	0.050026561595775502	0.033098347981770797	0.0081566683846176595	0.036314892419613901	0.028158224034996199	0.0132035696770922	0.019033468686575201	0.0058298990094830397	1	-236.375	55873.140625	2.2784458237560599	-0.18039589765347699	0.99404616561560499	-0.18664414736274401	0.38834916489385102	-0.033194256996621103	4.2847473500633901	1.8722249829411299	0.065530560974251098	-1.7233928915885499	2.2037891956305899
5	4.75	4.2712077602800003	0.202644167840481	0.307438042853028	0.104793875012547	1.02167852260172	0.70502418857067795	-0.31665433403104498	0.54456883948296297	0.26989786121994302	-0.27467097826302	0.98024673387408201	0.96784894373267905	-0.012397790141403599	0.018923785700462801	0.031373058306053303	0.0124492726055905	0.00082949949610338096	0.00077799834507459305	-5.1501151028787397e-05	0.0172439151340061	0.058432331791630501	0.041188416657624398	0.0110429712221958	0.0062667228201462397	-0.0047762484020495303	0.018372860611041202	0.21725492527781801	0.19888206466677599	1	-236.125	55755.015625	3.1474915095624101	-0.23836674772386701	-0.19882520434270001	-0.25369401591428198	0.52546288029529797	-0.039432563353166999	5.3317846494463597	-0.31843494232595798	2.32637326030587	-1.7215701598153199	2.1967669367262501
7	5.25	-0.15038585292199999	0.30701984623447098	0.30734749101102299	0.00032764477655289299	0.70666080787777896	0.70323840547353	-0.0034224024042487401	0.63007677439017895	0.22620057715103001	-0.40387619723914903	0.96759277302771796	0.96706570181995599	-0.00052707120776185302	0.031558148865587998	0.032207009056583101	0.00064886019099504705	0.00084907435248169304	0.00072725942045508401	-0.000121814932026609	0.059512060659903103	0.057634325380678503	-0.0018777352792245399	0.0126504642186773	0.0050693508310359903	-0.0075811133876413301	0.12526233776753701	0.121476051290696	-0.0037862864768405799	1	-235.625	55519.140625	0.017751461248257799	-0.0245246153624121	-0.291310458626035	0.0097484670465403395	0.00631504430430593	-0.0440307961486563	-0.24194645537857201	-0.50500253746403201	-0.047085024964150499	-1.7179246962688599	2.1827447118029899
10	6	-0.92411926625499996	0.30828289352357402	0.30926007479429202	0.00097718127071849703	0.70071763396263098	0.69677680507302298	-0.0039408288896083396	0.272835493087769	0.22297565261833399	-0.049859840469435403	0.96645550951361703	0.96694615557789798	0.00049064606428139701	0.032805123133584899	0.0323100647889078	-0.00049505834467709203	0.00073939002468250705	0.00074375983094796504	4.3698062654586398e-06	0.058247601544415502	0.058331242314091397	8.3640769675929997e-05	0.0059258892870275399	0.00478454697367851	-0.0011413423133490299	0.088910952770643301	0.012143994337400699	-0.076766958433242605	1	-234.875	55166.265625	0.037211150508981501	-0.0248785429601707	-0.037905116057358898	0.032334290752580701	-0.044010555469618101	-0.035778831972205702	0.011899829937233101	-0.076656571172556295	-0.90176499616868	-1.7124565009491699	2.1617671066316202
12	6.5	-0.41704803538899998	0.309120880067348	0.31202937066554998	0.0029084905982018098	0.69722938239574395	0.69327393472194698	-0.0039554476737977398	0.229598106071353	0.29148041829466798	0.061882312223315299	0.966992500424385	0.966760629415512	-0.000231871008872786	0.032251944020390499	0.032516307942569302	0.00026436392217874698	0.00075555469084065397	0.00072303822089452301	-3.2516469946131202e-05	0.058228104202835702	0.058965951425057901	0.00073784722222221299	0.0050883722666185396	0.0064198670093901502	0.00133149474277161	0.0160950114923753	0.209370980224031	0.19327596873165601	1	-234.375	54931.640625	0.095071916942808102	-0.024888523143121202	0.042080053952419302	0.016299736080926101	-0.0106005005842526	-0.038191043100275497	0.096568895770682298	0.087825949411727999	2.26072001563226	-1.7088110374027099	2.14781919132639
14	7	-0.45789581983099997	0.31147528141737002	0.31512769199907797	0.0036524105817079501	0.69334151595830895	0.68940021321177503	-0.0039413027465343697	0.331068694777787	0.28112048120237898	-0.0499482135754079	0.967074106633663	0.96691913902759596	-0.00015496760606770199	0.032212933292612399	0.032370736123994	0.000157802831381552	0.00071291373387793999	0.00071016308138496201	-2.7506524929776601e-06	0.058563712791160301	0.057987043592664898	-0.00057666919849536796	0.0072063668339978904	0.0060677508081425904	-0.0011386160258553	0.20785593053366699	0.063157449718605305	-0.14469848081506101	1	-233.875	54697.515625	0.117359273917983	-0.024878866460316298	-0.0379683736350514	0.018006424908819402	-0.015288553657700999	-0.036244480761352497	-0.073559168438548095	-0.076475230215336504	-1.69731414687884	-1.7051655738562499	2.1339009998683802
15	7.25	-0.87598158619699995	0.312544603645802	0.31781949615105998	0.0052748925052582604	0.69361096397042299	0.68565566223114705	-0.0079553017392753906	0.217307801637799	0.27319887727498998	0.055891075637191499	0.96626622229814496	0.9675741314888	0.00130790919065482	0.032998613792005901	0.0317292441148311	-0.0012693696771748401	0.00073515989734005403	0.00069664922339143201	-3.8510673948621698e-05	0.059572601318359397	0.057364280135543302	-0.0022083211828161199	0.0048050952580524602	0.0061649287788895901	0.0013598335208371299	0.13586665832220499	0.0133931177022007	-0.122473540620004	1	-233.625	54580.640625	0.165967772973897	-0.0276192068191249	0.037791519452573301	0.050471509605768301	-0.078075640529892201	-0.038583039449155698	-0.28473172526678803	0.089710923447909402	-1.4370368606230901	-1.7033428420830199	2.1269530505820802
18	8	-0.64312692616099998	0.31781186684966101	0.31317749321460697	-0.0046343736350535902	0.68555891811847702	0.69113436341285694	0.0055754452943801401	0.31779131814837502	0.39591064760461497	0.078119329456240102	0.96791706085205098	0.96719058975577399	-0.00072647109627721495	0.031393946870230102	0.032108552823774499	0.00071460595354438201	0.00068903093342669302	0.00070082860183902102	1.17976684123279e-05	0.057835049099392397	0.056114225034360497	-0.0017208240650318301	0.0070708041894249601	0.0078179972726502497	0.00074719308322528804	0.014749111164128	0.013894714866332401	-0.00085439629779565705	1	-232.875	54230.765625	-0.130907370492817	-0.0183818222935659	0.053702530811247901	0.0053232589335147603	0.0092074661243135708	-0.035293080262663	-0.22163860626950299	0.048960707763120601	-0.012749525624024999	-1.6978746467633301	2.10615378849399
