label_index	label_time_s	z_e	luminance_pre	luminance_post	luminance_delta	rms_contrast_pre	rms_contrast_post	rms_contrast_delta	global_motion_pre	global_motion_post	global_motion_delta	SF_low_pre	SF_low_post	SF_low_delta	SF_mid_pre	SF_mid_post	SF_mid_delta	SF_high_pre	SF_high_post	SF_high_delta	edge_density_pre	edge_density_post	edge_density_delta	novelty_pre	novelty_post	novelty_delta	audio_rms_envelope_pre	audio_rms_envelope_post	audio_rms_envelope_delta	source_complete	movie_time_linear	movie_time_quadratic	luminance_delta_z	rms_contrast_delta_z	global_motion_delta_z	SF_low_delta_z	SF_mid_delta_z	SF_high_delta_z	edge_density_delta_z	novelty_delta_z	audio_rms_envelope_delta_z	movie_time_linear_z	movie_time_quadratic_z
0	3.5	-0.59699225859600002	0.20628794059157399	0.20767039880156499	0.0013824582099915301	0.971181812882423	0.98638688921928397	0.0152050763368609	0.37154074925929298	0.43778954893350602	0.066248799674213002	0.977440321445465	0.98010080754756901	0.0026604861021042301	0.0216733747161925	0.019073449540883299	-0.0025999251753091798	0.00088631393737159702	0.00082575190172064997	-6.0562035650946199e-05	0.016355952510127302	0.016957826967592599	0.00060187445746527602	0.0072342507977737102	0.0087647492531687	0.0015304984553949901	0.184609172340052	0.0148601769063371	-0.16974899543371499	1	-237.375	56346.890625	0.049352982990498201	-0.0118077133727946	0.045205591027635099	0.080488749668447199	-0.13661215461545001	-0.040025108032666602	0.078970954133219307	0.101062823299923	-1.9906818638234001	-1.7306838186814599	2.2319525408659802
-1	3.625	-0.54704871899507723	0.205850987462327	0.20714821959845697	0.0012972321361303801	0.97084482582286002	0.99586067628115194	0.025015850458294249	0.44699535984545946	0.389406638848595	-0.057588720996863997	0.97820584299042801	0.97996227378025647	0.0017564307898283995	0.02091976191441065	0.019204660409013752	-0.0017151015053968859	0.00087438414711869003	0.00083307699351280445	-4.1307153605885101e-05	0.016378558123553252	0.016922459778962298	0.00054390165540906996	0.0091085098996700059	0.0081025706633226901	-0.0010059392363473301	0.11088969146341285	0.014462002271998099	-0.096427689191414798	1	-237.25	56287.5625	0.046799665464621699	-0.0051099388280731453	-0.043437458222552947	0.060425383874746247	-0.097685185173227912	-0.0387659177454081	0.071467966391747656	-0.067650138927058498	-1.1320127089917795	-1.7297724527948448	2.2284265494901998
1	3.75	-0.91678479320999995	0.20541403433308	0.20662604039534899	0.00121200606226923	0.97050783876329705	1.0053344633430199	0.0348266245797276	0.522449970431626	0.34102372876368398	-0.181426241667941	0.97897136453539102	0.97982374001294403	0.00085237547755256905	0.0201661491126288	0.019335871277144201	-0.00083027783548459203	0.00086245435686578304	0.00084040208530495903	-2.2052271560824e-05	0.0164011637369792	0.016887092590332001	0.00048592885335286401	0.010982769001566301	0.0074403920734766801	-0.0035423769280896501	0.037170210586773701	0.0140638276376591	-0.023106382949114601	1	-237.125	56228.265625	0.044246347938745198	0.00158783571664831	-0.132080507472741	0.040362018081045302	-0.0587582157310058	-0.037506727458149598	0.063964978650276005	-0.23636310115404	-0.27334355416015899	-1.7288610869082299	2.2249005581144199
-2	3.875	-0.86684125360907716	0.20628465847112248	0.2052615848835555	-0.001023073587566605	0.9751307466067376	1.0120343780145049	0.036903631407767395	0.51081249667331596	0.35951043872628297	-0.1513020579470325	0.97952056722715453	0.97989480989053845	0.00037424266338353902	0.019631517273955998	0.0192569596663816	-0.00037455760757438769	0.00084789086695309396	0.00084825144986098197	3.6058290788785012e-07	0.016657935248480901	0.016915169468632453	0.00025723422015154653	0.010432510713144421	0.00763798692278214	-0.0027945237903622949	0.026151739296046549	0.014001080872410251	-0.012150658423636291	1	-237	56169	-0.022715179010783799	0.0030057996091882302	-0.1105175798016777	0.029750993049295901	-0.038709241015149248	-0.036041018730841201	0.034366736567958758	-0.186619116278127	-0.14504056556128289	-1.727949721021615	2.22137828221955
2	4	-0.92743582699899996	0.20715528260916499	0.20389712937176199	-0.0032581532374024399	0.97975365445017804	1.0187342926859899	0.038980638235807198	0.49917502291500598	0.37799714868888201	-0.121177874226124	0.98006976991891803	0.97996587976813299	-0.000103890150785491	0.019096885435283199	0.019178048055618999	8.1162620335816602e-05	0.000833327377040405	0.00085610081441700502	2.2773437376599701e-05	0.016914706759982599	0.016943246346932901	2.8539586950228999e-05	0.0098822524247225395	0.0078355817720875999	-0.00204667065263494	0.0151332680053194	0.0139383341071614	-0.0011949338981579801	1	-236.875	56109.765625	-0.089676705960312797	0.0044237635017281502	-0.088954652130614403	0.019139968017546499	-0.0186602662992927	-0.034575310003532797	0.0047684944856415104	-0.136875131402214	-0.016737576962406801	-1.7270383551349999	2.2178560063246802
-3	4.125	-0.87749228739807716	0.20737269960809501	0.20980617420282199	0.0024334745947271804	0.98861915841698655	0.99939439063891999	0.010775232221931049	0.42085250544041652	0.97960341330617595	0.55875090786575798	0.97995613748207644	0.97928071636706604	-0.0006754211150110655	0.019210232564364549	0.019864999785204399	0.00065476722083986332	0.00083361905226411195	0.00085431015213544058	2.0691099871328352e-05	0.016941854688856298	0.019878224973325399	0.0029363702844690497	0.0085137192985939702	0.020309828445169847	0.011796109146575881	0.015123193032598799	0.016228148503825351	0.0011049554712265451	1	-236.75	56050.5625	0.080840747632819593	-0.014831949460876726	0.39773920439188432	0.0064561923215460297	0.0065749184216948985	-0.034711486333010994	0.38110735174160476	0.783887240559073	0.010196532128469249	-1.7261269892483899	2.2143374459107052
3	4.25	-1.0520772913400001	0.207590116607025	0.21571521903388199	0.0081251024268568003	0.99748466238379496	0.98005448859184996	-0.0174301737919451	0.34252998796582701	1.5812096779234699	1.23867968995764	0.97984250504523496	0.97859555296599898	-0.00124695207923664	0.019323579693445898	0.0205519515147898	0.00122837182134391	0.000833910727487819	0.00085251948985387604	1.8608762366057001e-05	0.016969002617729999	0.022813203599717901	0.0058442009819878703	0.0071451861724654	0.032784075118252098	0.025638888945786701	0.0151131180598782	0.0185179629004893	0.0034048448406110701	1	-236.625	55991.390625	0.25135820122595198	-0.034087662423481602	0.88443306091438301	-0.0062275833744544398	0.031810103142682497	-0.034847662662489197	0.75744620899756798	1.7046496125203601	0.037130641219345298	-1.7252156233617799	2.2108188854967299
-4	4.375	4.2249829256009228	0.20618978629354351	0.24814552625175551	0.0419557399582118	1.0063031595200325	0.88171821078285606	-0.12458494873717454	0.35995153028197802	1.675197940552605	1.3152464102706249	0.97988001564517591	0.97456827815622105	-0.00531173748895525	0.019276644990895847	0.0245571457810001	0.0052805007901042698	0.00084333410513863798	0.00087458437665191005	3.1250271513272403e-05	0.016948608115867299	0.0364198825977467	0.019471274481879332	0.0076509272785415302	0.034549483768932999	0.02689855649039145	0.014158343868485201	0.018775715793532252	0.0046173719250470549	1	-236.5	55932.25	1.264902012491006	-0.1072417800384793	0.93923961326499406	-0.09643586536859923	0.21007963401826676	-0.03402095982955515	2.5210967795304793	1.788437297730745	0.051330601096798198	-1.7243042574751648	2.2073040405636597
4	4.5	4.1750393859999999	0.20478945598006201	0.280575833469629	0.075786377489566806	1.01512165665627	0.78338193297386205	-0.231739723682404	0.37737307259812902	1.76918620318174	1.3918131305836099	0.97991752624511697	0.970541003346443	-0.0093765228986738593	0.019229710288345799	0.028562340047210401	0.0093326297588646294	0.00085275748278945695	0.00089664926344994395	4.3891780660487802e-05	0.016928213614004602	0.050026561595775502	0.033098347981770797	0.0081566683846176595	0.036314892419613901	0.028158224034996199	0.0132035696770922	0.019033468686575201	0.0058298990094830397	1	-236.375	55873.140625	2.2784458237560599	-0.18039589765347699	0.99404616561560499	-0.18664414736274401	0.38834916489385102	-0.033194256996621103	4.2847473500633901	1.8722249829411299	0.065530560974251098	-1.7233928915885499	2.2037891956305899
5	4.75	4.2712077602800003	0.202644167840481	0.307438042853028	0.104793875012547	1.02167852260172	0.70502418857067795	-0.31665433403104498	0.54456883948296297	0.26989786121994302	-0.27467097826302	0.98024673387408201	0.96784894373267905	-0.012397790141403599	0.018923785700462801	0.031373058306053303	0.0124492726055905	0.00082949949610338096	0.00077799834507459305	-5.1501151028787397e-05	0.0172439151340061	0.058432331791630501	0.041188416657624398	0.0110429712221958	0.0062667228201462397	-0.0047762484020495303	0.018372860611041202	0.21725492527781801	0.19888206466677599	1	-236.125	55755.015625	3.1474915095624101	-0.23836674772386701	-0.19882520434270001	-0.25369401591428198	0.52546288029529797	-0.039432563353166999	5.3317846494463597	-0.31843494232595798	2.32637326030587	-1.7215701598153199	2.1967669367262501
