run	family	density	n	b	c	FPR_1p5	FPR_1p0	Delta	CI_lower	CI_upper	FPR_1p5_CP_low	FPR_1p5_CP_high	FPR_1p0_CP_low	FPR_1p0_CP_high
R1	Mphase	1p5x	120	11	42	0.158333333333333	0.416666666666667	-0.258333333333333	-0.363114163608696	-0.145005381445759	0.0981022947405905	0.236163556028213	0.327367670003279	0.510178445797709
R2	Mphase	1p5x	120	18	30	0.2	0.3	-0.1	-0.209527669416759	0.0126980445072943	0.132547567544719	0.282809890897941	0.219756499240522	0.390396109422139
R1	Mphase	0p5x	120	39	21	0.566666666666667	0.416666666666667	0.15	0.0239147630366891	0.26952568678036	0.473133543234238	0.656830508293886	0.327367670003279	0.510178445797709
R2	Mphase	0p5x	120	27	16	0.391666666666667	0.3	0.0916666666666667	-0.0157179630069435	0.196020796422277	0.303856700553551	0.484956255842918	0.219756499240522	0.390396109422139
R1	Mpower	1p5x	120	3	3	0.025	0.025	0	-0.049186721881302	0.049186721881302	0.00518557495832129	0.0713231941569051	0.00518557495832129	0.0713231941569051
R2	Mpower	1p5x	120	5	2	0.05	0.025	0.025	-0.0261928544036553	0.0808541632154756	0.0185675867826689	0.105653854518713	0.00518557495832129	0.0713231941569051
