run	worlds_new	rejections_new	rejection_rate_new	worlds_hist_G06	rejections_hist_G06	rejection_rate_hist_G06
R1	50	2	0.04	265	15	0.0566037735849057
R2	50	3	0.06	265	19	0.0716981132075472
