label_index	label_time_s	z_e	luminance_pre	luminance_post	luminance_delta	rms_contrast_pre	rms_contrast_post	rms_contrast_delta	global_motion_pre	global_motion_post	global_motion_delta	SF_low_pre	SF_low_post	SF_low_delta	SF_mid_pre	SF_mid_post	SF_mid_delta	SF_high_pre	SF_high_post	SF_high_delta	edge_density_pre	edge_density_post	edge_density_delta	novelty_pre	novelty_post	novelty_delta	audio_rms_envelope_pre	audio_rms_envelope_post	audio_rms_envelope_delta	source_complete	movie_time_linear	movie_time_quadratic	luminance_delta_z	rms_contrast_delta_z	global_motion_delta_z	SF_low_delta_z	SF_mid_delta_z	SF_high_delta_z	edge_density_delta_z	novelty_delta_z	audio_rms_envelope_delta_z	movie_time_linear_z	movie_time_quadratic_z
0	3.5	-0.596992258596	0.206287940591574	0.207670398801565	0.00138245820999153	0.971181812882423	0.986386889219284	0.0152050763368609	0.371540749259293	0.437789548933506	0.066248799674213	0.977440321445465	0.980100807547569	0.00266048610210423	0.0216733747161925	0.0190734495408833	-0.00259992517530918	0.000886313937371597	0.00082575190172065	-6.05620356509462e-05	0.0163559525101273	0.0169578269675926	0.000601874457465276	0.00723425079777371	0.0087647492531687	0.00153049845539499	0.184609172340052	0.0148601769063371	-0.169748995433715	1	-237.375	56346.890625	0.0493529829904982	-0.0118077133727946	0.0452055910276351	0.0804887496684472	-0.13661215461545	-0.0400251080326666	0.0789709541332193	0.101062823299923	-1.9906818638234	-1.73068381868146	2.23195254086598
1	3.75	-0.91678479321	0.20541403433308	0.206626040395349	0.00121200606226923	0.970507838763297	1.00533446334302	0.0348266245797276	0.522449970431626	0.341023728763684	-0.181426241667941	0.978971364535391	0.979823740012944	0.000852375477552569	0.0201661491126288	0.0193358712771442	-0.000830277835484592	0.000862454356865783	0.000840402085304959	-2.2052271560824e-05	0.0164011637369792	0.016887092590332	0.000485928853352864	0.0109827690015663	0.00744039207347668	-0.00354237692808965	0.0371702105867737	0.0140638276376591	-0.0231063829491146	1	-237.125	56228.265625	0.0442463479387452	0.00158783571664831	-0.132080507472741	0.0403620180810453	-0.0587582157310058	-0.0375067274581496	0.063964978650276	-0.23636310115404	-0.273343554160159	-1.72886108690823	2.22490055811442
2	4	-0.927435826999	0.207155282609165	0.203897129371762	-0.00325815323740244	0.979753654450178	1.01873429268599	0.0389806382358072	0.499175022915006	0.377997148688882	-0.121177874226124	0.980069769918918	0.979965879768133	-0.000103890150785491	0.0190968854352832	0.019178048055619	8.11626203358166e-05	0.000833327377040405	0.000856100814417005	2.27734373765997e-05	0.0169147067599826	0.0169432463469329	2.8539586950229e-05	0.00988225242472254	0.0078355817720876	-0.00204667065263494	0.0151332680053194	0.0139383341071614	-0.00119493389815798	1	-236.875	56109.765625	-0.0896767059603128	0.00442376350172815	-0.0889546521306144	0.0191399680175465	-0.0186602662992927	-0.0345753100035328	0.00476849448564151	-0.136875131402214	-0.0167375769624068	-1.727038355135	2.21785600632468
3	4.25	-1.05207729134	0.207590116607025	0.215715219033882	0.0081251024268568	0.997484662383795	0.98005448859185	-0.0174301737919451	0.342529987965827	1.58120967792347	1.23867968995764	0.979842505045235	0.978595552965999	-0.00124695207923664	0.0193235796934459	0.0205519515147898	0.00122837182134391	0.000833910727487819	0.000852519489853876	1.8608762366057e-05	0.01696900261773	0.0228132035997179	0.00584420098198787	0.0071451861724654	0.0327840751182521	0.0256388889457867	0.0151131180598782	0.0185179629004893	0.00340484484061107	1	-236.625	55991.390625	0.251358201225952	-0.0340876624234816	0.884433060914383	-0.00622758337445444	0.0318101031426825	-0.0348476626624892	0.757446208997568	1.70464961252036	0.0371306412193453	-1.72521562336178	2.21081888549673
4	4.5	4.175039386	0.204789455980062	0.280575833469629	0.0757863774895668	1.01512165665627	0.783381932973862	-0.231739723682404	0.377373072598129	1.76918620318174	1.39181313058361	0.979917526245117	0.970541003346443	-0.00937652289867386	0.0192297102883458	0.0285623400472104	0.00933262975886463	0.000852757482789457	0.000896649263449944	4.38917806604878e-05	0.0169282136140046	0.0500265615957755	0.0330983479817708	0.00815666838461766	0.0363148924196139	0.0281582240349962	0.0132035696770922	0.0190334686865752	0.00582989900948304	1	-236.375	55873.140625	2.27844582375606	-0.180395897653477	0.994046165615605	-0.186644147362744	0.388349164893851	-0.0331942569966211	4.28474735006339	1.87222498294113	0.0655305609742511	-1.72339289158855	2.20378919563059
5	4.75	4.27120776028	0.202644167840481	0.307438042853028	0.104793875012547	1.02167852260172	0.705024188570678	-0.316654334031045	0.544568839482963	0.269897861219943	-0.27467097826302	0.980246733874082	0.967848943732679	-0.0123977901414036	0.0189237857004628	0.0313730583060533	0.0124492726055905	0.000829499496103381	0.000777998345074593	-5.15011510287874e-05	0.0172439151340061	0.0584323317916305	0.0411884166576244	0.0110429712221958	0.00626672282014624	-0.00477624840204953	0.0183728606110412	0.217254925277818	0.198882064666776	1	-236.125	55755.015625	3.14749150956241	-0.238366747723867	-0.1988252043427	-0.253694015914282	0.525462880295298	-0.039432563353167	5.33178464944636	-0.318434942325958	2.32637326030587	-1.72157015981532	2.19676693672625
6	5	-0.427107675282	0.254238188266754	0.307384980842471	0.0531467925757169	0.864251172542572	0.704239931702614	-0.160011240839958	1.90331826433539	0.184997507743538	-1.71832075659186	0.973809219151735	0.967748785018921	-0.00606043413281443	0.0252944837324321	0.0315295736072585	0.00623508987482636	0.000896317880688002	0.00072160732379416	-0.000174710556893842	0.039496895118996	0.0570449546531395	0.0175480595341435	0.0388189582561608	0.00413590593088884	-0.034683052325272	0.0178749407599244	0.259588730139961	0.241713789380036	1	-235.875	55637.015625	1.60017864189242	-0.131427161795615	-1.2321914870893	-0.113051413588153	0.252075866029712	-0.0474899529960166	2.27218940115178	-2.30770733685595	2.82797753803078	-1.71974742804209	2.18975210878372
7	5.25	-0.150385852922	0.307019846234471	0.307347491011023	0.000327644776552893	0.706660807877779	0.70323840547353	-0.00342240240424874	0.630076774390179	0.22620057715103	-0.403876197239149	0.967592773027718	0.967065701819956	-0.000527071207761853	0.031558148865588	0.0322070090565831	0.000648860190995047	0.000849074352481693	0.000727259420455084	-0.000121814932026609	0.0595120606599031	0.0576343253806785	-0.00187773527922454	0.0126504642186773	0.00506935083103599	-0.00758111338764133	0.125262337767537	0.121476051290696	-0.00378628647684058	1	-235.625	55519.140625	0.0177514612482578	-0.0245246153624121	-0.291310458626035	0.00974846704654034	0.00631504430430593	-0.0440307961486563	-0.241946455378572	-0.505002537464032	-0.0470850249641505	-1.71792469626886	2.18274471180299
8	5.5	-0.643765869315	0.307471095025539	0.308891128003597	0.00142003297805787	0.704432255029678	0.699034833908081	-0.00539742112159736	0.214922702126205	0.291437905281782	0.0765152031555772	0.967906400561333	0.96631415784359	-0.00159224271774305	0.0313644977286458	0.0329383688047528	0.00157387107610703	0.00072908781003207	0.000747498439159244	1.84106291271746e-05	0.0570877640335648	0.0585774739583333	0.00148970992476852	0.00479012640425935	0.00651537193916738	0.00172524553490803	0.269698167674246	0.112554414925581	-0.157143752748666	1	-235.375	55401.390625	0.0504786985079213	-0.0258729523974588	0.0525542952369032	-0.0138904910432952	0.0470100117683273	-0.0348606197634156	0.193876882281416	0.114016564200662	-1.84306129297528	-1.71610196449563	2.17574474578406
9	5.75	-0.254417685747	0.307141000032425	0.309162360522896	0.00202136049047114	0.704072739183903	0.697419534623623	-0.00665320456027985	0.205336695117876	0.288427673652768	0.0830909785348923	0.967406851612031	0.966758757457137	-0.000648094154894419	0.0318730674684048	0.0324803560157307	0.000607288547325883	0.000720030007687456	0.000760896359315666	4.08663516282102e-05	0.0573012528596101	0.0585413897479022	0.0012401368882921	0.00447194048028905	0.00637809230611311	0.00190615182582406	0.135170405766291	0.0796236046337084	-0.0555468011325821	1	-235.125	55283.765625	0.0684940781526295	-0.0267302705096876	0.057261243322169	0.00706264945907446	0.00448613967867257	-0.0333921076426712	0.161576504054589	0.126049675175674	-0.653254768124759	-1.7142792327224	2.16875221072694
