arm	reducer	run	n_worlds	mean_p	p_lt_0p5_count	p_lt_0p5_fraction	p_lt_0p5_cp_low	p_lt_0p5_cp_high	p_gt_0p75_count	p_gt_0p75_fraction	p_gt_0p75_cp_low	p_gt_0p75_cp_high
J32_reference	median	R1	120	0.21651331583658853	100	0.8333333333333334	0.7543999619226814	0.8951214980233372	8	0.06666666666666667	0.029219184313796415	0.12713674823921287
J32_reference	median	R2	120	0.29330240885416664	89	0.7416666666666667	0.653790595288739	0.8172414698303412	18	0.15	0.09138957252823	0.22666714341262836
J32_reference	mean	R1	120	0.5094818115234375	60	0.5	0.40736926744019714	0.5926307325598028	30	0.25	0.17546461903005658	0.33726921629199613
J32_reference	mean	R2	120	0.49304606119791666	62	0.5166666666666667	0.4236636548327075	0.6088277437806595	27	0.225	0.15381546444741603	0.310223377563974
J256_high	median	R1	120	0.18797836303710938	103	0.8583333333333333	0.7828931017566235	0.9152552705054843	5	0.041666666666666664	0.013665384116789567	0.09455879997593716
J256_high	median	R2	120	0.270416259765625	91	0.7583333333333333	0.6717076791269851	0.8317914398019388	15	0.125	0.07167967688875214	0.19777641035182564
J256_high	mean	R1	120	0.5084953308105469	58	0.48333333333333334	0.39117225621934054	0.5763363451672925	30	0.25	0.17546461903005658	0.33726921629199613
J256_high	mean	R2	120	0.5011311848958333	62	0.5166666666666667	0.4236636548327075	0.6088277437806595	31	0.25833333333333336	0.1827585301696587	0.34620940471126105
