run	n	s32	mean_difference	sd_difference	ci_low	ci_high	bias_ratio	ci_low_ratio	ci_high_ratio	rmse	rmse_ratio	sd_difference_ratio	median_difference	q025_difference	q25_difference	q75_difference	q975_difference	pearson_r	max_abs_difference	max_abs_seed_index
R1	120	8.134464948298717e-05	6.968503227411528e-07	1.45735588925574e-05	-1.9374306437149955e-06	3.3311312891973007e-06	0.008566639934774021	-0.023817554762716135	0.04095083463226417	1.452942923897975e-05	0.17861567209799714	0.17915817432596334	3.0145677806455504e-07	-2.4331206506042187e-05	-1.033561871297155e-05	1.3784810090911802e-05	2.4930733980740044e-05	0.9839463274344155	4.09760043026943e-05	90
R2	120	0.00010298979545910764	-6.992576619274422e-08	1.7034555255748576e-05	-3.149050433893556e-06	3.009198901508068e-06	-0.0006789582004802449	-0.030576334479117347	0.02921841807815686	1.6963573574994534e-05	0.16471120754609095	0.16540041836001304	-4.6971140252337657e-07	-2.8973518540548867e-05	-1.1028728747454041e-05	1.1556433806744976e-05	2.8794000726377785e-05	0.9863287467270858	5.566890029499239e-05	65
