run	n	both_reject	mean_only_reject	median_only_reject	neither_reject	fpr_mean	fpr_median	delta_mean_minus_median	ci_low	ci_high
R1	120	1	1	44	74	0.016666666666666666	0.375	-0.35833333333333334	-0.44837835838581763	-0.266637555185606
R2	120	3	2	38	77	0.041666666666666664	0.3416666666666667	-0.3	-0.3901005112549721	-0.20860239889611004
