reducer	run	n	both_reject	j256_only_reject	j32_only_reject	neither_reject	fpr_j256	fpr_j32	delta_j256_minus_j32	ci_low	ci_high	median_p_difference	q25_p_difference	q75_p_difference	max_abs_p_difference
median	R1	120	31	14	10	65	0.375	0.3416666666666667	0.03333333333333333	-0.047669420921706486	0.11364219736167136	-0.0026702880859375	-0.053466796875	0.01081085205078125	0.484649658203125
median	R2	120	36	5	4	75	0.3416666666666667	0.3333333333333333	0.008333333333333333	-0.04346933914393729	0.06015317998270552	-0.0096435546875	-0.04779052734375	0.005615234375	0.45654296875
mean	R1	120	2	0	2	116	0.016666666666666666	0.03333333333333333	-0.016666666666666666	-0.06085550505496316	0.01930763238308274	0.00775146484375	-0.05706787109375	0.0549774169921875	0.27459716796875
mean	R2	120	5	0	0	115	0.041666666666666664	0.041666666666666664	0.0	-0.03266494793789562	0.03266494793789562	0.010009765625	-0.044189453125	0.05755615234375	0.3369140625
