arm	J	reducer	run	n_worlds	rejections	fpr	cp_low	cp_high	mean_p	observed_mean	observed_sample_sd	null_center_sd
J32_reference	32	median	R1	120	41	0.3416666666666667	0.2575543476518658	0.43380059718495123	0.21651331583658853	-0.0001537456811878314	8.49594132280179e-05	-1.8096368059322847
J32_reference	32	median	R2	120	40	0.3333333333333333	0.24993508930271455	0.42517828783635164	0.29330240885416664	-0.0001455236920472726	0.00011153156365172557	-1.3047758614923815
J32_reference	32	mean	R1	120	4	0.03333333333333333	0.009155505556836708	0.08314872142851014	0.5094818115234375	1.1359069394486438e-06	8.134464948298717e-05	0.013964126057070455
J32_reference	32	mean	R2	120	5	0.041666666666666664	0.013665384116789567	0.09455879997593716	0.49304606119791666	6.020329188517555e-06	0.00010298979545910764	0.05845558932979862
J256_high	256	median	R1	120	45	0.375	0.28831367057013413	0.4680118617139823	0.18797836303710938	-0.00015864148305321478	8.242066623347618e-05	-1.9247779750266147
J256_high	256	median	R2	120	41	0.3416666666666667	0.2575543476518658	0.43380059718495123	0.270416259765625	-0.0001533878452737783	0.0001161399403877073	-1.3207157224442096
J256_high	256	mean	R1	120	2	0.016666666666666666	0.0020248223376930826	0.05890921946702682	0.5084953308105469	1.8327572621897964e-06	7.875768333936856e-05	0.023270837643768746
J256_high	256	mean	R2	120	5	0.041666666666666664	0.013665384116789567	0.09455879997593716	0.5011311848958333	5.950403422324812e-06	0.000100119141296503	0.059433224708776544
