arm	reducer	run	n_worlds	mean_p	p_lt_0p5_count	p_lt_0p5_fraction	p_lt_0p5_cp_low	p_lt_0p5_cp_high	p_gt_0p75_count	p_gt_0p75_fraction	p_gt_0p75_cp_low	p_gt_0p75_cp_high
P0	median	R1	60	0.06319071451822916	57	0.95	0.8607567532789272	0.9895676703556517	0	0.0	0.0	0.05962949228616691
P0	median	R2	60	0.09899495442708334	57	0.95	0.8607567532789272	0.9895676703556517	2	0.03333333333333333	0.004062624642093496	0.1152810444192517
P0	mean	R1	60	0.33834584554036456	44	0.7333333333333333	0.6033896599745044	0.8392535484095847	11	0.18333333333333332	0.09523582291656378	0.3043960547407762
P0	mean	R2	60	0.394384765625	38	0.6333333333333333	0.4989692823562928	0.754059389562713	8	0.13333333333333333	0.05936442270535719	0.24592222113041984
P4	median	R1	60	3.153483072916667e-05	60	1.0	0.9403705077138331	1.0	0	0.0	0.0	0.05962949228616691
P4	median	R2	60	0.000244140625	60	1.0	0.9403705077138331	1.0	0	0.0	0.0	0.05962949228616691
P4	mean	R1	60	3.0517578125e-05	60	1.0	0.9403705077138331	1.0	0	0.0	0.0	0.05962949228616691
P4	mean	R2	60	0.000244140625	60	1.0	0.9403705077138331	1.0	0	0.0	0.0	0.05962949228616691
