seed_index	world_seed	mode	arm	kappa	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
1	22360828	benchmark	P0	0	CS41	R1	median	-0.000445768621988343	14	14	-0.0155092705846193	0.285714285714286	0
1	22360828	benchmark	P0	0	CS41	R1	mean	-0.000348773704926216	14	14	-0.0155092705846193	0.285714285714286	0
1	22360828	benchmark	P0	0	CS41	R2	median	-2.45452114036506e-05	14	14	-1.11001698008961	0.5	0
1	22360828	benchmark	P0	0	CS41	R2	mean	-1.79092583373756e-05	14	14	-1.11001698008961	0.5	0
1	22360828	benchmark	P0	0	CS42	R1	median	-0.000533101797342776	14	14	0.376526209318695	0.285714285714286	0
1	22360828	benchmark	P0	0	CS42	R1	mean	-0.000508296181764395	14	14	0.376526209318695	0.285714285714286	0
1	22360828	benchmark	P0	0	CS42	R2	median	0.000120028296654571	14	14	-1.2680632860282	0.571428571428571	0
1	22360828	benchmark	P0	0	CS42	R2	mean	-9.68227241077179e-05	14	14	-1.2680632860282	0.571428571428571	0
1	22360828	benchmark	P0	0	CS43	R1	median	-8.74446782041388e-05	14	14	-0.45715410156963	0.5	0
1	22360828	benchmark	P0	0	CS43	R1	mean	-0.000194438709695062	14	14	-0.45715410156963	0.5	0
1	22360828	benchmark	P0	0	CS43	R2	median	4.28584484450155e-05	14	14	0.632243916456041	0.5	0
1	22360828	benchmark	P0	0	CS43	R2	mean	0.00016381237248797	14	14	0.632243916456041	0.5	0
1	22360828	benchmark	P0	0	CS44	R1	median	-0.000485092008324646	14	14	1.38559898212242	0.214285714285714	0
1	22360828	benchmark	P0	0	CS44	R1	mean	-0.000397825242487647	14	14	1.38559898212242	0.214285714285714	0
1	22360828	benchmark	P0	0	CS47	R1	median	-0.000494375369082077	14	14	1.48934997752928	0.357142857142857	0
1	22360828	benchmark	P0	0	CS47	R1	mean	-0.000356120286635176	14	14	1.48934997752928	0.357142857142857	0
1	22360828	benchmark	P0	0	CS47	R2	median	-0.00038298969913382	14	14	0.624782261379705	0.285714285714286	0
1	22360828	benchmark	P0	0	CS47	R2	mean	-0.000302703417474112	14	14	0.624782261379705	0.285714285714286	0
1	22360828	benchmark	P0	0	CS48	R1	median	0.000214933111907504	14	14	-0.18945204167649	0.5	0
1	22360828	benchmark	P0	0	CS48	R1	mean	0.000274839461699707	14	14	-0.18945204167649	0.5	0
1	22360828	benchmark	P0	0	CS48	R2	median	-0.000121944355095419	14	14	0.469420014635903	0.5	0
1	22360828	benchmark	P0	0	CS48	R2	mean	-7.47155056268826e-05	14	14	0.469420014635903	0.5	0
1	22360828	benchmark	P0	0	CS49	R1	median	-9.85428859912668e-05	12	12	1.22146607468481	0.416666666666667	0
1	22360828	benchmark	P0	0	CS49	R1	mean	0.00041106784400842	12	12	1.22146607468481	0.416666666666667	0
1	22360828	benchmark	P0	0	CS49	R2	median	-0.000162905720199865	14	14	-0.129391100219681	0.285714285714286	0
1	22360828	benchmark	P0	0	CS49	R2	mean	-0.00025083972018825	14	14	-0.129391100219681	0.285714285714286	0
1	22360828	benchmark	P0	0	CS51	R1	median	-1.06223074825958e-05	14	14	2.2068461293769	0.5	0
1	22360828	benchmark	P0	0	CS51	R1	mean	0.000231743966352239	14	14	2.2068461293769	0.5	0
1	22360828	benchmark	P0	0	CS51	R2	median	4.52274499624249e-05	12	12	0.383648270042327	0.5	0
1	22360828	benchmark	P0	0	CS51	R2	mean	0.00028208099920783	12	12	0.383648270042327	0.5	0
1	22360828	benchmark	P0	0	CS53	R1	median	-0.000680136493686504	12	12	0.931487883591646	0.25	0
1	22360828	benchmark	P0	0	CS53	R1	mean	-0.000326176774340213	12	12	0.931487883591646	0.25	0
1	22360828	benchmark	P0	0	CS53	R2	median	-0.000126570428007719	8	8	2.3841381356878	0.5	0
1	22360828	benchmark	P0	0	CS53	R2	mean	0.000588210790458278	8	8	2.3841381356878	0.5	0
1	22360828	benchmark	P0	0	CS54	R1	median	-0.000196108761881436	7	7	0.119500834540154	0.428571428571429	0
1	22360828	benchmark	P0	0	CS54	R1	mean	5.35709003316047e-05	7	7	0.119500834540154	0.428571428571429	0
1	22360828	benchmark	P0	0	CS54	R2	median	4.24142224610994e-05	7	7	1.34434887562384	0.571428571428571	0
1	22360828	benchmark	P0	0	CS54	R2	mean	0.000319144957740914	7	7	1.34434887562384	0.571428571428571	0
1	22360828	benchmark	P0	0	CS55	R1	median	-0.000601298347860266	14	14	1.75101918075031	0.285714285714286	0
1	22360828	benchmark	P0	0	CS55	R1	mean	-0.000286840213972899	14	14	1.75101918075031	0.285714285714286	0
1	22360828	benchmark	P0	0	CS55	R2	median	-0.000268046601054251	14	14	0.0596938793683931	0.428571428571429	0
1	22360828	benchmark	P0	0	CS55	R2	mean	-0.000243499672071755	14	14	0.0596938793683931	0.428571428571429	0
1	22360828	benchmark	P0	0	CS56	R1	median	5.06684052041588e-05	12	12	0.553924620092167	0.583333333333333	0
1	22360828	benchmark	P0	0	CS56	R1	mean	0.00027970285326619	12	12	0.553924620092167	0.583333333333333	0
